LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;1/11/2021;"21";"17";"23";"18";"82";"19";"24";"39";"0";"1008";"0";"0";"pioggia "
Palermo;2/11/2021;"20";"18";"22";"15";"73";"21";"25";"44";"0";"1011";"0";"0";""
Palermo;3/11/2021;"23";"18";"27";"15";"59";"21";"37";"48";"0";"1007";"0";"0";"pioggia "
Palermo;4/11/2021;"20";"18";"24";"16";"77";"20";"18";"44";"0";"1011";"0";"0";"pioggia "
Palermo;5/11/2021;"20";"18";"21";"17";"84";"20";"15";"28";"0";"1012";"0";"0";""
Palermo;6/11/2021;"21";"19";"28";"16";"74";"20";"21";"41";"0";"1012";"0";"0";"pioggia "
Palermo;7/11/2021;"24";"20";"28";"14";"56";"19";"25";"41";"0";"1011";"0";"0";"pioggia "
Palermo;8/11/2021;"17";"16";"19";"15";"88";"19";"11";"22";"0";"1011";"0";"0";"pioggia temporale "
Palermo;9/11/2021;"18";"17";"20";"15";"81";"19";"13";"24";"0";"1015";"0";"0";"pioggia "
Palermo;10/11/2021;"17";"14";"20";"14";"84";"16";"15";"35";"0";"1018";"0";"0";"pioggia temporale "
Palermo;11/11/2021;"17";"15";"20";"14";"82";"18";"10";"18";"0";"1017";"0";"0";"pioggia temporale "
Palermo;12/11/2021;"16";"13";"20";"9";"64";"20";"12";"22";"0";"1017";"0";"0";""
Palermo;13/11/2021;"17";"13";"21";"10";"66";"19";"7";"17";"0";"1017";"0";"0";""
Palermo;14/11/2021;"19";"17";"22";"11";"60";"19";"16";"24";"0";"1014";"0";"0";""
Palermo;15/11/2021;"17";"14";"20";"13";"77";"19";"10";"21";"0";"1013";"0";"0";"pioggia "
Palermo;16/11/2021;"15";"12";"19";"11";"79";"19";"10";"39";"0";"1012";"0";"0";"pioggia temporale "
Palermo;17/11/2021;"17";"15";"20";"11";"66";"19";"15";"41";"0";"1013";"0";"0";"pioggia temporale "
Palermo;18/11/2021;"17";"15";"19";"13";"74";"19";"14";"24";"0";"1020";"0";"0";""
Palermo;19/11/2021;"17";"15";"19";"13";"78";"20";"13";"22";"0";"1025";"0";"0";"pioggia "
Palermo;20/11/2021;"17";"15";"19";"12";"75";"20";"10";"17";"0";"1023";"0";"0";""
Palermo;21/11/2021;"16";"12";"19";"11";"74";"20";"13";"28";"0";"1015";"0";"0";""
Palermo;22/11/2021;"17";"14";"20";"12";"72";"20";"16";"33";"0";"1010";"0";"0";"pioggia temporale "
Palermo;23/11/2021;"17";"15";"19";"12";"74";"21";"20";"35";"0";"1013";"0";"0";"pioggia "
Palermo;24/11/2021;"17";"13";"20";"12";"73";"22";"15";"24";"0";"1015";"0";"0";"pioggia "
Palermo;25/11/2021;"16";"12";"18";"11";"76";"16";"10";"30";"0";"1009";"0";"0";"pioggia "
Palermo;26/11/2021;"15";"12";"17";"10";"73";"20";"24";"42";"0";"1006";"0";"0";"pioggia "
Palermo;27/11/2021;"15";"12";"18";"10";"70";"19";"30";"42";"0";"1004";"0";"0";"pioggia "
Palermo;28/11/2021;"15";"11";"17";"8";"66";"18";"27";"42";"0";"1002";"0";"0";"pioggia "
Palermo;29/11/2021;"11";"9";"14";"7";"74";"18";"40";"67";"0";"1004";"0";"0";"pioggia "
Palermo;30/11/2021;"13";"11";"15";"6";"64";"17";"24";"54";"0";"1019";"0";"0";"pioggia "
