LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;1/10/2021;"23";"20";"26";"16";"63";"20";"11";"22";"0";"1019";"0";"0";"pioggia temporale "
Palermo;2/10/2021;"24";"22";"26";"16";"64";"22";"16";"31";"0";"1017";"0";"0";"pioggia temporale "
Palermo;3/10/2021;"24";"20";"27";"16";"61";"20";"11";"24";"0";"1017";"0";"0";""
Palermo;4/10/2021;"24";"20";"28";"17";"64";"21";"9";"18";"0";"1018";"0";"0";""
Palermo;5/10/2021;"23";"19";"26";"16";"66";"20";"20";"46";"0";"1018";"0";"0";"pioggia temporale "
Palermo;6/10/2021;"23";"21";"24";"17";"69";"21";"19";"31";"0";"1017";"0";"0";"pioggia "
Palermo;7/10/2021;"21";"16";"23";"13";"62";"19";"37";"50";"0";"1011";"0";"0";"pioggia temporale "
Palermo;8/10/2021;"19";"16";"21";"15";"80";"17";"18";"48";"0";"1011";"0";"0";"pioggia temporale "
Palermo;9/10/2021;"19";"16";"23";"15";"75";"20";"11";"22";"0";"1014";"0";"0";"pioggia "
Palermo;10/10/2021;"20";"18";"21";"13";"65";"20";"24";"31";"0";"1015";"0";"0";"pioggia "
Palermo;11/10/2021;"20";"18";"21";"11";"58";"22";"27";"39";"0";"1017";"0";"0";"pioggia "
Palermo;12/10/2021;"20";"19";"21";"12";"61";"20";"17";"26";"0";"1014";"0";"0";"pioggia "
Palermo;13/10/2021;"18";"16";"22";"13";"74";"18";"20";"31";"0";"1011";"0";"0";"pioggia "
Palermo;14/10/2021;"17";"14";"19";"10";"65";"18";"31";"44";"0";"1013";"0";"0";"pioggia temporale "
Palermo;15/10/2021;"18";"15";"19";"9";"58";"21";"28";"39";"0";"1013";"0";"0";"pioggia "
Palermo;16/10/2021;"20";"19";"21";"14";"68";"21";"19";"31";"0";"1016";"0";"0";"pioggia "
Palermo;17/10/2021;"19";"17";"22";"14";"72";"19";"13";"22";"0";"1017";"0";"0";"pioggia temporale "
Palermo;18/10/2021;"18";"16";"21";"14";"76";"21";"10";"15";"0";"1021";"0";"0";""
Palermo;19/10/2021;"19";"16";"21";"14";"72";"19";"15";"21";"0";"1027";"0";"0";""
Palermo;20/10/2021;"18";"14";"21";"14";"78";"18";"8";"13";"0";"1027";"0";"0";""
Palermo;21/10/2021;"22";"18";"25";"14";"62";"19";"26";"35";"0";"1021";"0";"0";""
Palermo;22/10/2021;"23";"20";"27";"16";"63";"20";"23";"35";"0";"1016";"0";"0";""
Palermo;23/10/2021;"21";"18";"24";"18";"82";"19";"11";"22";"0";"1017";"0";"0";""
Palermo;24/10/2021;"21";"16";"23";"17";"82";"17";"15";"26";"0";"1014";"0";"0";"pioggia temporale "
Palermo;25/10/2021;"20";"18";"22";"16";"76";"18";"20";"31";"0";"1012";"0";"0";"pioggia "
Palermo;26/10/2021;"20";"17";"22";"16";"80";"18";"18";"37";"0";"1015";"0";"0";"pioggia "
Palermo;27/10/2021;"20";"19";"22";"16";"76";"20";"21";"26";"0";"1018";"0";"0";"pioggia "
Palermo;28/10/2021;"18";"15";"21";"14";"78";"19";"12";"28";"0";"1017";"0";"0";""
Palermo;29/10/2021;"17";"16";"19";"14";"81";"20";"12";"26";"0";"1015";"0";"0";"pioggia "
Palermo;30/10/2021;"19";"16";"21";"14";"73";"23";"14";"26";"0";"1016";"0";"0";""
Palermo;31/10/2021;"19";"17";"21";"15";"79";"18";"11";"21";"0";"1015";"0";"0";"pioggia "
