LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;1/9/2021;"27";"23";"30";"18";"59";"20";"21";"33";"0";"1017";"0";"0";""
Palermo;2/9/2021;"27";"23";"30";"19";"62";"21";"14";"26";"0";"1019";"0";"0";""
Palermo;3/9/2021;"28";"25";"33";"20";"65";"19";"16";"30";"0";"1017";"0";"0";"pioggia "
Palermo;4/9/2021;"27";"21";"31";"20";"65";"20";"19";"42";"0";"1013";"0";"0";"pioggia temporale "
Palermo;5/9/2021;"26";"25";"28";"22";"77";"21";"12";"17";"0";"1015";"0";"0";""
Palermo;6/9/2021;"26";"25";"28";"20";"68";"19";"16";"22";"0";"1017";"0";"0";"pioggia "
Palermo;7/9/2021;"25";"22";"27";"18";"65";"19";"13";"26";"0";"1018";"0";"0";""
Palermo;8/9/2021;"24";"20";"27";"16";"63";"19";"9";"15";"0";"1017";"0";"0";""
Palermo;9/9/2021;"25";"19";"28";"14";"52";"19";"12";"30";"0";"1015";"0";"0";""
Palermo;10/9/2021;"25";"22";"28";"18";"67";"19";"17";"31";"0";"1015";"0";"0";"pioggia temporale "
Palermo;11/9/2021;"24";"22";"26";"20";"76";"20";"17";"28";"0";"1013";"0";"0";"pioggia temporale "
Palermo;12/9/2021;"25";"23";"27";"18";"67";"20";"15";"30";"0";"1014";"0";"0";""
Palermo;13/9/2021;"25";"22";"27";"19";"72";"21";"9";"15";"0";"1016";"0";"0";""
Palermo;14/9/2021;"24";"21";"27";"18";"69";"20";"13";"26";"0";"1018";"0";"0";""
Palermo;15/9/2021;"25";"20";"29";"17";"64";"22";"9";"18";"0";"1019";"0";"0";""
Palermo;16/9/2021;"26";"22";"33";"15";"53";"18";"10";"24";"0";"1018";"0";"0";""
Palermo;17/9/2021;"30";"28";"32";"14";"43";"21";"18";"35";"0";"1014";"0";"0";""
Palermo;18/9/2021;"27";"25";"31";"22";"72";"20";"13";"24";"0";"1013";"0";"0";"pioggia temporale "
Palermo;19/9/2021;"27";"25";"31";"23";"80";"18";"14";"22";"0";"1014";"0";"0";""
Palermo;20/9/2021;"25";"23";"28";"19";"69";"21";"11";"18";"0";"1016";"0";"0";""
Palermo;21/9/2021;"25";"21";"29";"18";"64";"19";"15";"37";"0";"1018";"0";"0";""
Palermo;22/9/2021;"26";"24";"28";"19";"69";"21";"13";"24";"0";"1018";"0";"0";""
Palermo;23/9/2021;"25";"23";"27";"17";"62";"22";"23";"35";"0";"1018";"0";"0";""
Palermo;24/9/2021;"24";"20";"27";"18";"69";"19";"11";"26";"0";"1019";"0";"0";""
Palermo;25/9/2021;"26";"22";"29";"20";"72";"20";"14";"28";"0";"1019";"0";"0";""
Palermo;26/9/2021;"26";"23";"28";"21";"74";"20";"10";"21";"0";"1021";"0";"0";""
Palermo;27/9/2021;"27";"23";"31";"20";"69";"19";"17";"33";"0";"1018";"0";"0";""
Palermo;28/9/2021;"25";"24";"27";"21";"76";"18";"14";"22";"0";"1017";"0";"0";""
Palermo;29/9/2021;"25";"22";"26";"19";"71";"20";"9";"17";"0";"1018";"0";"0";""
Palermo;30/9/2021;"25";"23";"26";"18";"67";"20";"16";"24";"0";"1019";"0";"0";""
