LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Perugia;1/12/2020;"5";"1";"7";"4";"93";"0";"6";"13";"0";"1014";"0";"0";""
Perugia;2/12/2020;"9";"6";"12";"7";"90";"0";"11";"21";"0";"1007";"0";"0";""
Perugia;3/12/2020;"8";"5";"11";"6";"92";"0";"5";"11";"0";"1005";"0";"0";""
Perugia;4/12/2020;"7";"3";"13";"5";"88";"0";"7";"24";"0";"1002";"0";"0";""
Perugia;5/12/2020;"15";"12";"18";"8";"62";"0";"18";"28";"0";"1000";"0";"0";""
Perugia;6/12/2020;"9";"4";"12";"8";"95";"0";"11";"35";"0";"999";"0";"0";""
Perugia;7/12/2020;"7";"3";"11";"5";"91";"0";"8";"17";"0";"1006";"0";"0";""
Perugia;8/12/2020;"8";"6";"10";"8";"98";"0";"10";"30";"0";"1000";"0";"0";""
Perugia;9/12/2020;"9";"7";"12";"8";"92";"0";"8";"21";"0";"1000";"0";"0";""
Perugia;10/12/2020;"8";"6";"10";"6";"91";"0";"6";"15";"0";"1004";"0";"0";""
Perugia;11/12/2020;"4";"2";"5";"4";"100";"0";"4";"15";"0";"1004";"0";"0";""
Perugia;12/12/2020;"5";"3";"9";"4";"94";"0";"7";"21";"0";"1000";"0";"0";""
Perugia;13/12/2020;"7";"2";"12";"3";"78";"0";"12";"18";"0";"1008";"0";"0";""
Perugia;14/12/2020;"4";"-1";"12";"3";"88";"0";"6";"17";"0";"1017";"0";"0";""
Perugia;15/12/2020;"3";"-1";"8";"2";"94";"0";"5";"9";"0";"1020";"0";"0";""
Perugia;16/12/2020;"5";"1";"13";"4";"91";"0";"5";"9";"0";"1023";"0";"0";""
Perugia;17/12/2020;"4";"1";"11";"4";"96";"0";"4";"13";"0";"1025";"0";"0";""
Perugia;18/12/2020;"3";"1";"5";"3";"100";"0";"2";"5";"0";"1027";"0";"0";""
Perugia;19/12/2020;"4";"1";"11";"4";"95";"0";"3";"8";"0";"1026";"0";"0";""
Perugia;20/12/2020;"2";"0";"5";"3";"100";"0";"3";"5";"0";"1024";"0";"0";""
Perugia;21/12/2020;"1";"-1";"4";"3";"100";"0";"2";"5";"0";"1026";"0";"0";""
Perugia;22/12/2020;"6";"2";"10";"6";"100";"0";"2";"4";"0";"1027";"0";"0";""
Perugia;23/12/2020;"10";"8";"13";"9";"92";"0";"3";"8";"0";"1025";"0";"0";""
Perugia;24/12/2020;"13";"11";"14";"10";"84";"0";"13";"22";"0";"1018";"0";"0";""
Perugia;25/12/2020;"11";"9";"13";"8";"87";"0";"11";"22";"0";"1009";"0";"0";""
Perugia;26/12/2020;"6";"5";"8";"4";"88";"0";"12";"21";"0";"1011";"0";"0";""
Perugia;27/12/2020;"4";"-1";"8";"1";"79";"0";"11";"22";"0";"1008";"0";"0";""
Perugia;28/12/2020;"7";"2";"10";"5";"84";"0";"15";"41";"0";"994";"0";"0";""
Perugia;29/12/2020;"8";"6";"11";"6";"84";"0";"16";"26";"0";"1001";"0";"0";""
Perugia;30/12/2020;"5";"1";"9";"5";"96";"0";"9";"24";"0";"1004";"0";"0";""
Perugia;31/12/2020;"4";"1";"6";"3";"97";"0";"4";"9";"0";"1011";"0";"0";""
