LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Perugia;1/2/2020;"11";"10";"14";"10";"90";"11";"5";"13";"0";"1020";"0";"0";"pioggia "
Perugia;2/2/2020;"13";"11";"15";"10";"81";"20";"7";"18";"0";"1021";"0";"0";""
Perugia;3/2/2020;"12";"9";"17";"11";"91";"14";"4";"9";"0";"1019";"0";"0";"pioggia "
Perugia;4/2/2020;"9";"6";"16";"8";"91";"9";"10";"37";"0";"1012";"0";"0";"pioggia nebbia "
Perugia;5/2/2020;"6";"-2";"11";"1";"53";"19";"21";"44";"0";"1016";"0";"0";""
Perugia;6/2/2020;"6";"1";"10";"0";"33";"21";"26";"39";"0";"1026";"0";"0";""
Perugia;7/2/2020;"2";"-4";"12";"0";"56";"20";"7";"15";"0";"1027";"0";"0";""
Perugia;8/2/2020;"3";"-4";"14";"0";"66";"20";"5";"11";"0";"1028";"0";"0";""
Perugia;9/2/2020;"6";"-2";"13";"5";"71";"19";"6";"13";"0";"1031";"0";"0";"pioggia "
Perugia;10/2/2020;"12";"9";"13";"9";"83";"20";"13";"22";"0";"1022";"0";"0";"pioggia "
Perugia;11/2/2020;"14";"10";"18";"8";"69";"20";"13";"28";"0";"1014";"0";"0";""
Perugia;12/2/2020;"10";"3";"16";"4";"71";"19";"7";"17";"0";"1018";"0";"0";""
Perugia;13/2/2020;"8";"-1";"15";"5";"75";"19";"11";"24";"0";"1020";"0";"0";""
Perugia;14/2/2020;"11";"5";"16";"7";"72";"17";"11";"26";"0";"1017";"0";"0";"pioggia "
Perugia;15/2/2020;"7";"0";"16";"2";"65";"20";"11";"21";"0";"1026";"0";"0";""
Perugia;16/2/2020;"6";"-1";"16";"2";"71";"19";"6";"13";"0";"1029";"0";"0";""
Perugia;17/2/2020;"7";"0";"17";"2";"69";"18";"7";"17";"0";"1027";"0";"0";""
Perugia;18/2/2020;"9";"1";"16";"6";"77";"20";"6";"13";"0";"1024";"0";"0";""
Perugia;19/2/2020;"7";"3";"13";"6";"91";"8";"5";"13";"0";"1021";"0";"0";""
Perugia;20/2/2020;"7";"2";"14";"2";"64";"16";"12";"18";"0";"1023";"0";"0";""
Perugia;21/2/2020;"6";"-2";"15";"4";"69";"18";"4";"11";"0";"1024";"0";"0";""
Perugia;22/2/2020;"8";"0";"17";"1";"62";"22";"6";"22";"0";"1030";"0";"0";""
Perugia;23/2/2020;"7";"0";"15";"5";"77";"19";"6";"13";"0";"1029";"0";"0";""
Perugia;24/2/2020;"7";"1";"17";"4";"86";"12";"4";"11";"0";"1023";"0";"0";"nebbia "
Perugia;25/2/2020;"13";"10";"16";"7";"69";"20";"14";"28";"0";"1013";"0";"0";""
Perugia;26/2/2020;"11";"4";"15";"5";"65";"20";"20";"35";"0";"1002";"0";"0";"pioggia "
Perugia;27/2/2020;"6";"-2";"13";"2";"69";"19";"12";"33";"0";"1010";"0";"0";"pioggia "
Perugia;28/2/2020;"10";"2";"14";"6";"55";"22";"14";"21";"0";"1014";"0";"0";"pioggia "
Perugia;29/2/2020;"7";"-1";"15";"3";"63";"20";"9";"21";"0";"1018";"0";"0";""
