LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Perugia;1/6/2020;"17";"10";"22";"9";"61";"19";"18";"28";"0";"1017";"0";"0";""
Perugia;2/6/2020;"19";"10";"26";"9";"58";"21";"9";"15";"0";"1014";"0";"0";""
Perugia;3/6/2020;"19";"12";"26";"13";"72";"20";"9";"21";"0";"1011";"0";"0";"pioggia temporale "
Perugia;4/6/2020;"18";"13";"24";"13";"73";"22";"12";"22";"0";"1005";"0";"0";"pioggia "
Perugia;5/6/2020;"17";"14";"20";"14";"84";"18";"13";"24";"0";"1000";"0";"0";"pioggia "
Perugia;6/6/2020;"19";"13";"26";"14";"74";"20";"8";"18";"0";"1008";"0";"0";""
Perugia;7/6/2020;"20";"12";"25";"14";"71";"19";"11";"21";"0";"1009";"0";"0";""
Perugia;8/6/2020;"17";"15";"19";"15";"92";"17";"8";"13";"0";"1008";"0";"0";"pioggia "
Perugia;9/6/2020;"16";"12";"22";"13";"83";"14";"7";"22";"0";"1010";"0";"0";"pioggia temporale nebbia "
Perugia;10/6/2020;"17";"14";"21";"13";"77";"19";"9";"21";"0";"1011";"0";"0";"pioggia temporale "
Perugia;11/6/2020;"16";"13";"19";"13";"83";"18";"8";"17";"0";"1012";"0";"0";"pioggia "
Perugia;12/6/2020;"18";"10";"25";"12";"74";"19";"9";"13";"0";"1014";"0";"0";""
Perugia;13/6/2020;"19";"12";"27";"14";"74";"20";"9";"31";"0";"1014";"0";"0";"pioggia "
Perugia;14/6/2020;"17";"14";"20";"15";"88";"20";"7";"17";"0";"1012";"0";"0";"pioggia "
Perugia;15/6/2020;"17";"15";"21";"16";"91";"16";"5";"21";"0";"1013";"0";"0";"pioggia nebbia "
Perugia;16/6/2020;"20";"15";"23";"16";"83";"16";"6";"15";"0";"1012";"0";"0";"pioggia nebbia "
Perugia;17/6/2020;"20";"14";"25";"15";"76";"18";"8";"22";"0";"1012";"0";"0";"nebbia "
Perugia;18/6/2020;"20";"12";"26";"12";"67";"19";"10";"18";"0";"1014";"0";"0";""
Perugia;19/6/2020;"20";"13";"26";"14";"71";"20";"10";"21";"0";"1016";"0";"0";"pioggia "
Perugia;20/6/2020;"19";"11";"26";"12";"64";"18";"11";"22";"0";"1016";"0";"0";""
Perugia;21/6/2020;"19";"11";"27";"13";"71";"20";"9";"39";"0";"1015";"0";"0";"pioggia "
Perugia;22/6/2020;"22";"14";"29";"13";"64";"18";"12";"22";"0";"1016";"0";"0";""
Perugia;23/6/2020;"23";"14";"29";"12";"54";"21";"13";"24";"0";"1018";"0";"0";""
Perugia;24/6/2020;"23";"14";"30";"14";"57";"19";"9";"18";"0";"1018";"0";"0";""
Perugia;25/6/2020;"23";"16";"30";"15";"65";"20";"8";"17";"0";"1018";"0";"0";"pioggia "
Perugia;26/6/2020;"24";"16";"32";"15";"63";"20";"7";"15";"0";"1017";"0";"0";""
Perugia;27/6/2020;"24";"16";"32";"14";"57";"20";"7";"13";"0";"1017";"0";"0";""
Perugia;28/6/2020;"25";"16";"33";"15";"57";"19";"8";"15";"0";"1016";"0";"0";""
Perugia;29/6/2020;"25";"17";"33";"16";"59";"19";"12";"28";"0";"1014";"0";"0";""
Perugia;30/6/2020;"26";"17";"32";"18";"65";"20";"10";"17";"0";"1013";"0";"0";"pioggia "
