LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Perugia;1/7/2020;"27";"20";"33";"19";"65";"22";"11";"22";"0";"1013";"0";"0";""
Perugia;2/7/2020;"26";"19";"34";"18";"64";"19";"8";"22";"0";"1011";"0";"0";"pioggia "
Perugia;3/7/2020;"25";"18";"33";"17";"69";"18";"9";"28";"0";"1012";"0";"0";"pioggia "
Perugia;4/7/2020;"23";"17";"29";"16";"67";"19";"16";"26";"0";"1015";"0";"0";""
Perugia;5/7/2020;"23";"14";"30";"12";"56";"20";"16";"26";"0";"1015";"0";"0";""
Perugia;6/7/2020;"24";"15";"33";"13";"51";"21";"12";"18";"0";"1010";"0";"0";""
Perugia;7/7/2020;"23";"18";"27";"14";"59";"19";"21";"35";"0";"1011";"0";"0";""
Perugia;8/7/2020;"24";"16";"31";"11";"47";"20";"12";"18";"0";"1016";"0";"0";""
Perugia;9/7/2020;"25";"16";"33";"14";"55";"21";"7";"13";"0";"1016";"0";"0";""
Perugia;10/7/2020;"26";"18";"34";"16";"56";"19";"9";"15";"0";"1015";"0";"0";"pioggia "
Perugia;11/7/2020;"26";"17";"34";"15";"55";"20";"9";"18";"0";"1014";"0";"0";""
Perugia;12/7/2020;"25";"21";"29";"15";"56";"19";"20";"33";"0";"1017";"0";"0";""
Perugia;13/7/2020;"23";"17";"28";"8";"41";"21";"21";"30";"0";"1017";"0";"0";""
Perugia;14/7/2020;"22";"14";"28";"10";"49";"20";"15";"22";"0";"1014";"0";"0";""
Perugia;15/7/2020;"21";"13";"29";"13";"65";"19";"10";"26";"0";"1014";"0";"0";"pioggia "
Perugia;16/7/2020;"22";"15";"29";"15";"69";"19";"6";"11";"0";"1014";"0";"0";""
Perugia;17/7/2020;"21";"17";"26";"16";"76";"19";"11";"24";"0";"1013";"0";"0";"pioggia "
Perugia;18/7/2020;"21";"16";"26";"11";"55";"21";"15";"24";"0";"1014";"0";"0";"pioggia "
Perugia;19/7/2020;"21";"12";"28";"11";"55";"19";"9";"17";"0";"1016";"0";"0";""
Perugia;20/7/2020;"24";"14";"32";"13";"54";"20";"8";"15";"0";"1017";"0";"0";""
Perugia;21/7/2020;"26";"17";"34";"15";"56";"20";"8";"15";"0";"1019";"0";"0";""
Perugia;22/7/2020;"26";"16";"34";"16";"58";"21";"8";"15";"0";"1018";"0";"0";""
Perugia;23/7/2020;"27";"18";"34";"15";"51";"19";"9";"18";"0";"1013";"0";"0";""
Perugia;24/7/2020;"23";"18";"34";"17";"74";"17";"10";"24";"0";"1011";"0";"0";"pioggia "
Perugia;25/7/2020;"23";"16";"29";"15";"67";"19";"12";"24";"0";"1013";"0";"0";""
Perugia;26/7/2020;"24";"14";"33";"12";"52";"21";"8";"17";"0";"1015";"0";"0";""
Perugia;27/7/2020;"26";"16";"34";"15";"56";"20";"6";"15";"0";"1017";"0";"0";""
Perugia;28/7/2020;"27";"18";"36";"15";"53";"20";"7";"17";"0";"1016";"0";"0";""
Perugia;29/7/2020;"28";"20";"37";"17";"56";"19";"7";"13";"0";"1016";"0";"0";""
Perugia;30/7/2020;"29";"20";"38";"16";"50";"20";"9";"21";"0";"1017";"0";"0";""
Perugia;31/7/2020;"29";"19";"39";"14";"46";"18";"8";"21";"0";"1016";"0";"0";""
