LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Perugia;1/3/2020;"11";"9";"14";"7";"77";"19";"11";"21";"0";"1008";"0";"0";"pioggia "
Perugia;2/3/2020;"11";"9";"15";"9";"84";"15";"17";"28";"0";"1002";"0";"0";"pioggia "
Perugia;3/3/2020;"9";"6";"11";"6";"81";"18";"11";"21";"0";"1000";"0";"0";"pioggia "
Perugia;4/3/2020;"6";"2";"11";"4";"88";"15";"8";"21";"0";"1009";"0";"0";"pioggia "
Perugia;5/3/2020;"6";"0";"12";"3";"74";"18";"9";"18";"0";"1010";"0";"0";"pioggia nebbia "
Perugia;6/3/2020;"11";"7";"14";"8";"80";"17";"14";"30";"0";"1000";"0";"0";"pioggia temporale "
Perugia;7/3/2020;"8";"6";"12";"5";"83";"19";"11";"33";"0";"1009";"0";"0";"pioggia "
Perugia;8/3/2020;"8";"2";"13";"3";"66";"21";"12";"22";"0";"1018";"0";"0";""
Perugia;9/3/2020;"6";"0";"13";"2";"70";"19";"7";"21";"0";"1014";"0";"0";""
Perugia;10/3/2020;"9";"2";"16";"3";"65";"21";"8";"21";"0";"1017";"0";"0";""
Perugia;11/3/2020;"10";"2";"19";"3";"69";"20";"7";"15";"0";"1021";"0";"0";""
Perugia;12/3/2020;"10";"2";"17";"7";"83";"19";"8";"21";"0";"1022";"0";"0";""
Perugia;13/3/2020;"10";"5";"17";"8";"85";"13";"6";"11";"0";"1017";"0";"0";""
Perugia;14/3/2020;"11";"5";"16";"8";"84";"15";"9";"24";"0";"1015";"0";"0";""
Perugia;15/3/2020;"10";"6";"14";"3";"54";"18";"23";"35";"0";"1020";"0";"0";""
Perugia;16/3/2020;"9";"1";"18";"3";"58";"21";"9";"18";"0";"1024";"0";"0";""
Perugia;17/3/2020;"10";"3";"19";"4";"68";"20";"9";"17";"0";"1029";"0";"0";""
Perugia;18/3/2020;"11";"3";"18";"4";"65";"19";"16";"26";"0";"1026";"0";"0";""
Perugia;19/3/2020;"12";"2";"21";"3";"61";"19";"6";"13";"0";"1024";"0";"0";""
Perugia;20/3/2020;"11";"3";"20";"5";"67";"19";"7";"17";"0";"1022";"0";"0";""
Perugia;21/3/2020;"12";"4";"19";"5";"65";"21";"7";"11";"0";"1015";"0";"0";""
Perugia;22/3/2020;"12";"8";"16";"6";"66";"20";"22";"37";"0";"1015";"0";"0";""
Perugia;23/3/2020;"5";"3";"7";"1";"46";"19";"32";"44";"0";"1023";"0";"0";""
Perugia;24/3/2020;"2";"1";"6";"1";"75";"11";"19";"33";"0";"1021";"0";"0";"pioggia neve "
Perugia;25/3/2020;"2";"0";"6";"1";"86";"14";"15";"31";"0";"1016";"0";"0";"pioggia neve "
Perugia;26/3/2020;"7";"5";"9";"4";"73";"22";"29";"42";"0";"1007";"0";"0";"pioggia "
Perugia;27/3/2020;"10";"8";"12";"6";"75";"20";"25";"42";"0";"1009";"0";"0";""
Perugia;28/3/2020;"11";"7";"16";"6";"71";"19";"13";"18";"0";"1013";"0";"0";"pioggia "
Perugia;29/3/2020;"12";"4";"19";"5";"66";"13";"6";"11";"0";"1012";"0";"0";""
Perugia;30/3/2020;"11";"6";"18";"6";"75";"21";"11";"22";"0";"1012";"0";"0";""
Perugia;31/3/2020;"7";"4";"10";"3";"68";"20";"23";"30";"0";"1017";"0";"0";"pioggia "
