LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Perugia;1/8/2021;"28";"22";"32";"16";"52";"21";"24";"42";"0";"1009";"0";"0";""
Perugia;2/8/2021;"24";"15";"31";"11";"48";"21";"9";"22";"0";"1014";"0";"0";""
Perugia;3/8/2021;"23";"13";"32";"10";"45";"18";"10";"18";"0";"1016";"0";"0";""
Perugia;4/8/2021;"25";"16";"34";"13";"53";"20";"9";"21";"0";"1013";"0";"0";""
Perugia;5/8/2021;"25";"20";"30";"13";"49";"20";"16";"28";"0";"1010";"0";"0";""
Perugia;6/8/2021;"24";"15";"32";"13";"52";"21";"10";"28";"0";"1010";"0";"0";""
Perugia;7/8/2021;"26";"16";"34";"13";"50";"20";"13";"26";"0";"1011";"0";"0";""
Perugia;8/8/2021;"28";"18";"35";"15";"48";"18";"15";"30";"0";"1013";"0";"0";""
Perugia;9/8/2021;"28";"19";"35";"17";"54";"19";"10";"26";"0";"1018";"0";"0";""
Perugia;10/8/2021;"29";"22";"37";"19";"58";"19";"10";"24";"0";"1017";"0";"0";""
Perugia;11/8/2021;"28";"22";"37";"14";"46";"20";"9";"26";"0";"1016";"0";"0";""
Perugia;12/8/2021;"29";"18";"39";"13";"42";"21";"10";"21";"0";"1018";"0";"0";""
Perugia;13/8/2021;"30";"21";"38";"14";"43";"20";"10";"24";"0";"1020";"0";"0";""
Perugia;14/8/2021;"30";"21";"39";"13";"42";"20";"7";"13";"0";"1019";"0";"0";""
Perugia;15/8/2021;"30";"21";"39";"13";"40";"20";"10";"26";"0";"1016";"0";"0";""
Perugia;16/8/2021;"28";"20";"35";"14";"45";"20";"16";"33";"0";"1013";"0";"0";""
Perugia;17/8/2021;"27";"23";"35";"18";"60";"19";"12";"24";"0";"1010";"0";"0";""
Perugia;18/8/2021;"26";"21";"31";"12";"47";"20";"17";"26";"0";"1012";"0";"0";""
Perugia;19/8/2021;"25";"17";"33";"8";"38";"20";"12";"21";"0";"1013";"0";"0";""
Perugia;20/8/2021;"24";"18";"33";"12";"47";"20";"9";"22";"0";"1015";"0";"0";""
Perugia;21/8/2021;"26";"16";"34";"12";"50";"19";"9";"17";"0";"1018";"0";"0";""
Perugia;22/8/2021;"27";"18";"34";"12";"42";"20";"9";"15";"0";"1017";"0";"0";""
Perugia;23/8/2021;"23";"18";"31";"16";"69";"20";"13";"52";"0";"1015";"0";"0";"pioggia "
Perugia;24/8/2021;"23";"20";"28";"17";"71";"20";"16";"28";"0";"1014";"0";"0";"pioggia "
Perugia;25/8/2021;"23";"17";"29";"15";"64";"20";"16";"24";"0";"1013";"0";"0";"pioggia "
Perugia;26/8/2021;"22";"16";"30";"14";"65";"23";"11";"26";"0";"1011";"0";"0";""
Perugia;27/8/2021;"21";"15";"29";"16";"76";"22";"10";"28";"0";"1010";"0";"0";"pioggia "
Perugia;28/8/2021;"18";"14";"22";"14";"77";"20";"16";"31";"0";"1010";"0";"0";"pioggia "
Perugia;29/8/2021;"19";"13";"25";"10";"64";"21";"12";"21";"0";"1012";"0";"0";""
Perugia;30/8/2021;"19";"10";"28";"9";"58";"21";"9";"18";"0";"1014";"0";"0";""
Perugia;31/8/2021;"21";"13";"29";"12";"63";"22";"8";"24";"0";"1016";"0";"0";"pioggia "
