LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Perugia;1/4/2021;"16";"6";"25";"6";"55";"0";"9";"17";"0";"1019";"0";"0";""
Perugia;2/4/2021;"15";"5";"23";"8";"66";"0";"9";"22";"0";"1015";"0";"0";""
Perugia;3/4/2021;"12";"5";"20";"6";"68";"0";"11";"33";"0";"1011";"0";"0";""
Perugia;4/4/2021;"11";"7";"14";"2";"48";"0";"25";"35";"0";"1015";"0";"0";""
Perugia;5/4/2021;"10";"1";"17";"3";"52";"0";"11";"24";"0";"1013";"0";"0";""
Perugia;6/4/2021;"10";"4";"17";"6";"70";"0";"15";"44";"0";"1003";"0";"0";""
Perugia;7/4/2021;"6";"0";"10";"0";"53";"0";"21";"33";"0";"1012";"0";"0";""
Perugia;8/4/2021;"6";"-6";"14";"0";"50";"0";"10";"22";"0";"1025";"0";"0";""
Perugia;9/4/2021;"7";"-1";"17";"2";"58";"0";"9";"24";"0";"1027";"0";"0";""
Perugia;10/4/2021;"10";"2";"15";"4";"69";"0";"9";"22";"0";"1023";"0";"0";""
Perugia;11/4/2021;"12";"8";"14";"9";"83";"0";"10";"21";"0";"1019";"0";"0";""
Perugia;12/4/2021;"12";"11";"14";"10";"90";"0";"8";"17";"0";"1018";"0";"0";""
Perugia;13/4/2021;"9";"6";"11";"6";"83";"0";"11";"24";"0";"1017";"0";"0";""
Perugia;14/4/2021;"8";"2";"13";"1";"61";"0";"17";"30";"0";"1020";"0";"0";""
Perugia;15/4/2021;"8";"1";"14";"2";"61";"0";"11";"18";"0";"1019";"0";"0";""
Perugia;16/4/2021;"10";"5";"14";"1";"51";"0";"17";"28";"0";"1016";"0";"0";""
Perugia;17/4/2021;"10";"2";"14";"1";"50";"0";"20";"31";"0";"1013";"0";"0";""
Perugia;18/4/2021;"9";"3";"15";"4";"72";"0";"11";"21";"0";"1014";"0";"0";""
Perugia;19/4/2021;"10";"5";"15";"4";"72";"24";"11";"21";"0";"1014";"0";"0";""
Perugia;20/4/2021;"9";"2";"17";"4";"74";"20";"8";"30";"0";"1016";"0";"0";"pioggia "
Perugia;21/4/2021;"11";"2";"19";"5";"72";"22";"7";"18";"0";"1018";"0";"0";"pioggia "
Perugia;22/4/2021;"13";"9";"18";"8";"78";"21";"14";"28";"0";"1017";"0";"0";"pioggia "
Perugia;23/4/2021;"14";"7";"20";"7";"65";"21";"21";"31";"0";"1020";"0";"0";""
Perugia;24/4/2021;"15";"7";"21";"3";"48";"20";"20";"30";"0";"1020";"0";"0";""
Perugia;25/4/2021;"15";"2";"24";"3";"50";"21";"9";"17";"0";"1017";"0";"0";""
Perugia;26/4/2021;"15";"7";"22";"6";"61";"22";"7";"17";"0";"1013";"0";"0";"pioggia "
Perugia;27/4/2021;"13";"10";"15";"11";"89";"19";"11";"21";"0";"1007";"0";"0";"pioggia "
Perugia;28/4/2021;"14";"11";"17";"13";"95";"17";"9";"21";"0";"1008";"0";"0";"pioggia "
Perugia;29/4/2021;"16";"14";"19";"13";"85";"21";"9";"22";"0";"1011";"0";"0";"pioggia "
Perugia;30/4/2021;"18";"11";"24";"13";"75";"17";"5";"11";"0";"1011";"0";"0";""
