LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Perugia;1/1/2021;"4";"0";"7";"4";"97";"0";"5";"17";"0";"1010";"0";"0";""
Perugia;2/1/2021;"8";"7";"10";"6";"86";"0";"13";"24";"0";"1006";"0";"0";""
Perugia;3/1/2021;"6";"3";"8";"5";"91";"0";"5";"13";"0";"1009";"0";"0";""
Perugia;4/1/2021;"5";"2";"8";"4";"93";"0";"5";"9";"0";"1010";"0";"0";""
Perugia;5/1/2021;"5";"3";"7";"4";"96";"0";"10";"28";"0";"1008";"0";"0";""
Perugia;6/1/2021;"5";"1";"9";"3";"88";"0";"9";"21";"0";"1011";"0";"0";""
Perugia;7/1/2021;"2";"0";"5";"3";"99";"0";"5";"11";"0";"1013";"0";"0";""
Perugia;8/1/2021;"5";"4";"8";"3";"79";"0";"16";"24";"0";"1011";"0";"0";""
Perugia;9/1/2021;"5";"3";"7";"1";"76";"0";"19";"30";"0";"1013";"0";"0";""
Perugia;10/1/2021;"5";"4";"6";"2";"83";"0";"21";"30";"0";"1011";"0";"0";""
Perugia;11/1/2021;"4";"3";"5";"1";"72";"0";"17";"24";"0";"1014";"0";"0";""
Perugia;12/1/2021;"4";"-1";"8";"1";"74";"0";"11";"21";"0";"1014";"0";"0";""
Perugia;13/1/2021;"4";"-1";"10";"3";"91";"0";"4";"11";"0";"1014";"0";"0";""
Perugia;14/1/2021;;;;;;;;;;;;;
Perugia;15/1/2021;"6";"4";"9";"1";"57";"0";"21";"33";"0";"1013";"0";"0";""
Perugia;16/1/2021;"3";"-2";"7";"0";"62";"0";"16";"33";"0";"1018";"0";"0";""
Perugia;17/1/2021;"0";"-3";"3";"1";"86";"0";"11";"22";"0";"1016";"0";"0";""
Perugia;18/1/2021;"4";"-1";"9";"1";"77";"0";"9";"22";"0";"1022";"0";"0";""
Perugia;19/1/2021;"2";"-4";"9";"3";"89";"0";"4";"8";"0";"1026";"0";"0";""
Perugia;20/1/2021;"6";"1";"13";"4";"86";"0";"6";"21";"0";"1022";"0";"0";""
Perugia;21/1/2021;"10";"6";"14";"7";"79";"0";"8";"21";"0";"1016";"0";"0";""
Perugia;22/1/2021;"12";"8";"14";"9";"78";"0";"19";"48";"0";"1006";"0";"0";""
Perugia;23/1/2021;"10";"8";"12";"5";"71";"0";"17";"33";"0";"999";"0";"0";""
Perugia;24/1/2021;"7";"0";"11";"6";"91";"0";"12";"22";"0";"998";"0";"0";""
Perugia;25/1/2021;"5";"-1";"11";"3";"85";"0";"11";"35";"0";"1002";"0";"0";""
Perugia;26/1/2021;"2";"-2";"9";"1";"76";"0";"8";"15";"0";"1014";"0";"0";""
Perugia;27/1/2021;"1";"-4";"7";"0";"74";"0";"7";"13";"0";"1017";"0";"0";""
Perugia;28/1/2021;"3";"-1";"8";"2";"77";"0";"4";"11";"0";"1015";"0";"0";""
Perugia;29/1/2021;"9";"6";"12";"7";"92";"0";"6";"18";"0";"1007";"0";"0";""
Perugia;30/1/2021;"10";"4";"15";"7";"81";"0";"9";"24";"0";"1004";"0";"0";""
Perugia;31/1/2021;"10";"8";"11";"9";"95";"0";"8";"24";"0";"995";"0";"0";""
