LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Perugia;1/5/2021;"17";"12";"23";"14";"85";"19";"12";"26";"0";"1009";"0";"0";"pioggia "
Perugia;2/5/2021;"17";"13";"20";"10";"66";"19";"20";"33";"0";"1013";"0";"0";"pioggia "
Perugia;3/5/2021;"14";"6";"20";"7";"64";"20";"7";"17";"0";"1020";"0";"0";""
Perugia;4/5/2021;"13";"7";"17";"8";"79";"21";"10";"24";"0";"1018";"0";"0";""
Perugia;5/5/2021;"14";"7";"19";"10";"76";"19";"12";"26";"0";"1013";"0";"0";""
Perugia;6/5/2021;"17";"11";"23";"10";"64";"20";"16";"28";"0";"1014";"0";"0";""
Perugia;7/5/2021;"18";"12";"22";"11";"67";"21";"18";"33";"0";"1013";"0";"0";"pioggia "
Perugia;8/5/2021;"17";"8";"24";"11";"72";"21";"10";"17";"0";"1017";"0";"0";""
Perugia;9/5/2021;"19";"10";"27";"12";"68";"22";"9";"18";"0";"1018";"0";"0";""
Perugia;10/5/2021;"20";"12";"27";"12";"66";"21";"8";"18";"0";"1017";"0";"0";""
Perugia;11/5/2021;"17";"10";"25";"12";"77";"21";"13";"31";"0";"1013";"0";"0";"pioggia "
Perugia;12/5/2021;"15";"11";"20";"10";"76";"19";"9";"24";"0";"1010";"0";"0";"pioggia "
Perugia;13/5/2021;"14";"8";"21";"10";"76";"20";"11";"30";"0";"1008";"0";"0";"pioggia "
Perugia;14/5/2021;"14";"10";"19";"10";"82";"19";"9";"30";"0";"1011";"0";"0";"pioggia "
Perugia;15/5/2021;"14";"8";"20";"9";"72";"20";"10";"24";"0";"1012";"0";"0";""
Perugia;16/5/2021;"15";"14";"17";"12";"79";"19";"9";"17";"0";"1011";"0";"0";"pioggia "
Perugia;17/5/2021;"17";"12";"22";"10";"69";"19";"12";"30";"0";"1009";"0";"0";"pioggia "
Perugia;18/5/2021;"14";"6";"23";"8";"72";"20";"10";"24";"0";"1015";"0";"0";""
Perugia;19/5/2021;"17";"13";"20";"8";"60";"21";"15";"30";"0";"1013";"0";"0";"pioggia "
Perugia;20/5/2021;"14";"6";"21";"6";"62";"20";"8";"26";"0";"1018";"0";"0";"pioggia "
Perugia;21/5/2021;"16";"6";"24";"6";"58";"19";"12";"26";"0";"1020";"0";"0";""
Perugia;22/5/2021;"17";"8";"24";"8";"60";"20";"15";"31";"0";"1016";"0";"0";""
Perugia;23/5/2021;"19";"12";"26";"13";"69";"20";"11";"24";"0";"1016";"0";"0";"pioggia "
Perugia;24/5/2021;"21";"17";"28";"14";"72";"19";"13";"33";"0";"1015";"0";"0";"pioggia "
Perugia;25/5/2021;"18";"11";"24";"9";"59";"21";"10";"21";"0";"1019";"0";"0";""
Perugia;26/5/2021;"16";"6";"25";"5";"56";"19";"7";"13";"0";"1018";"0";"0";""
Perugia;27/5/2021;"17";"9";"26";"8";"61";"21";"9";"21";"0";"1016";"0";"0";""
Perugia;28/5/2021;"19";"9";"27";"8";"55";"20";"11";"22";"0";"1017";"0";"0";""
Perugia;29/5/2021;"20";"11";"28";"10";"57";"20";"9";"18";"0";"1016";"0";"0";"pioggia "
Perugia;30/5/2021;"19";"14";"23";"7";"50";"19";"21";"31";"0";"1017";"0";"0";"pioggia "
Perugia;31/5/2021;"17";"10";"23";"6";"52";"20";"16";"26";"0";"1018";"0";"0";""
