LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Perugia;1/11/2021;"15";"12";"17";"14";"93";"16";"6";"18";"0";"1006";"0";"0";"pioggia "
Perugia;2/11/2021;"14";"10";"19";"11";"79";"20";"9";"26";"0";"1006";"0";"0";""
Perugia;3/11/2021;"13";"10";"17";"13";"98";"18";"9";"21";"0";"1005";"0";"0";"pioggia "
Perugia;4/11/2021;"13";"8";"17";"11";"87";"18";"14";"33";"0";"1008";"0";"0";"pioggia "
Perugia;5/11/2021;"11";"7";"17";"8";"82";"19";"11";"26";"0";"1016";"0";"0";"pioggia "
Perugia;6/11/2021;"13";"11";"16";"9";"78";"20";"22";"30";"0";"1020";"0";"0";"pioggia "
Perugia;7/11/2021;"14";"11";"19";"11";"83";"19";"18";"28";"0";"1016";"0";"0";"pioggia "
Perugia;8/11/2021;"14";"9";"16";"11";"86";"19";"13";"21";"0";"1013";"0";"0";"pioggia "
Perugia;9/11/2021;"14";"12";"16";"10";"78";"21";"26";"31";"0";"1020";"0";"0";"pioggia "
Perugia;10/11/2021;"15";"13";"20";"12";"79";"20";"18";"28";"0";"1023";"0";"0";"pioggia "
Perugia;11/11/2021;"14";"9";"17";"11";"88";"19";"13";"21";"0";"1021";"0";"0";"pioggia "
Perugia;12/11/2021;"11";"7";"17";"10";"92";"17";"4";"9";"0";"1018";"0";"0";""
Perugia;13/11/2021;"9";"7";"12";"9";"100";"3";"5";"13";"0";"1018";"0";"0";"pioggia nebbia "
Perugia;14/11/2021;"11";"7";"15";"10";"97";"10";"4";"9";"0";"1014";"0";"0";"pioggia nebbia "
Perugia;15/11/2021;"14";"9";"20";"11";"85";"14";"10";"22";"0";"1015";"0";"0";"pioggia nebbia "
Perugia;16/11/2021;"12";"11";"14";"11";"92";"21";"13";"24";"0";"1016";"0";"0";"pioggia "
Perugia;17/11/2021;"10";"6";"16";"10";"95";"15";"9";"18";"0";"1017";"0";"0";"nebbia "
Perugia;18/11/2021;"12";"8";"16";"10";"90";"20";"17";"30";"0";"1023";"0";"0";""
Perugia;19/11/2021;"12";"7";"18";"9";"81";"21";"12";"21";"0";"1027";"0";"0";""
Perugia;20/11/2021;"8";"3";"17";"6";"92";"15";"6";"15";"0";"1023";"0";"0";""
Perugia;21/11/2021;"8";"4";"13";"7";"97";"13";"5";"9";"0";"1015";"0";"0";"pioggia "
Perugia;22/11/2021;"11";"7";"14";"9";"91";"18";"9";"21";"0";"1010";"0";"0";"pioggia "
Perugia;23/11/2021;"12";"10";"13";"8";"76";"20";"23";"30";"0";"1017";"0";"0";"pioggia "
Perugia;24/11/2021;"10";"6";"15";"6";"77";"20";"16";"21";"0";"1018";"0";"0";""
Perugia;25/11/2021;"9";"6";"12";"9";"99";"15";"4";"13";"0";"1009";"0";"0";"pioggia "
Perugia;26/11/2021;"10";"9";"12";"10";"99";"14";"6";"21";"0";"998";"0";"0";"pioggia "
Perugia;27/11/2021;"11";"9";"14";"8";"83";"20";"14";"30";"0";"997";"0";"0";"pioggia "
Perugia;28/11/2021;"8";"5";"11";"7";"93";"19";"13";"21";"0";"995";"0";"0";"pioggia "
Perugia;29/11/2021;"4";"2";"6";"3";"92";"19";"13";"22";"0";"999";"0";"0";"pioggia "
Perugia;30/11/2021;"3";"-1";"8";"2";"87";"21";"6";"13";"0";"1017";"0";"0";""
