LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Perugia;1/10/2021;"20";"14";"26";"11";"59";"20";"14";"21";"0";"1021";"0";"0";""
Perugia;2/10/2021;"19";"12";"25";"12";"69";"18";"8";"13";"0";"1019";"0";"0";""
Perugia;3/10/2021;"19";"12";"27";"13";"70";"20";"9";"24";"0";"1018";"0";"0";""
Perugia;4/10/2021;"21";"14";"28";"14";"66";"19";"11";"54";"0";"1018";"0";"0";""
Perugia;5/10/2021;"19";"16";"23";"14";"74";"18";"13";"24";"0";"1016";"0";"0";"pioggia "
Perugia;6/10/2021;"16";"12";"20";"14";"87";"18";"13";"24";"0";"1013";"0";"0";"pioggia "
Perugia;7/10/2021;"13";"10";"16";"12";"95";"17";"14";"24";"0";"1010";"0";"0";"pioggia "
Perugia;8/10/2021;"15";"14";"17";"12";"82";"21";"18";"30";"0";"1015";"0";"0";"pioggia "
Perugia;9/10/2021;"14";"13";"17";"10";"77";"20";"19";"33";"0";"1019";"0";"0";"pioggia "
Perugia;10/10/2021;"12";"9";"14";"7";"73";"19";"19";"30";"0";"1018";"0";"0";""
Perugia;11/10/2021;"11";"9";"14";"9";"86";"18";"9";"28";"0";"1017";"0";"0";"pioggia "
Perugia;12/10/2021;"11";"6";"18";"7";"81";"20";"13";"22";"0";"1016";"0";"0";""
Perugia;13/10/2021;"12";"8";"18";"6";"68";"20";"18";"41";"0";"1015";"0";"0";""
Perugia;14/10/2021;"11";"6";"15";"3";"59";"19";"20";"52";"0";"1021";"0";"0";""
Perugia;15/10/2021;"12";"7";"17";"5";"64";"21";"15";"31";"0";"1017";"0";"0";""
Perugia;16/10/2021;"12";"3";"18";"6";"73";"20";"13";"22";"0";"1016";"0";"0";""
Perugia;17/10/2021;"11";"6";"19";"8";"82";"19";"9";"18";"0";"1019";"0";"0";""
Perugia;18/10/2021;"11";"5";"20";"7";"78";"21";"9";"17";"0";"1024";"0";"0";""
Perugia;19/10/2021;"12";"5";"21";"7";"75";"19";"6";"13";"0";"1028";"0";"0";""
Perugia;20/10/2021;"13";"6";"21";"8";"76";"21";"6";"18";"0";"1026";"0";"0";""
Perugia;21/10/2021;"16";"8";"21";"12";"80";"20";"11";"24";"0";"1019";"0";"0";"pioggia "
Perugia;22/10/2021;"16";"14";"18";"15";"92";"18";"7";"13";"0";"1016";"0";"0";"pioggia "
Perugia;23/10/2021;"15";"11";"20";"13";"91";"17";"12";"21";"0";"1020";"0";"0";"nebbia "
Perugia;24/10/2021;"14";"12";"18";"9";"69";"19";"23";"31";"0";"1023";"0";"0";""
Perugia;25/10/2021;"14";"10";"19";"7";"65";"22";"16";"22";"0";"1020";"0";"0";""
Perugia;26/10/2021;"14";"13";"17";"10";"79";"19";"13";"21";"0";"1020";"0";"0";""
Perugia;27/10/2021;"14";"10";"18";"8";"70";"19";"23";"30";"0";"1022";"0";"0";""
Perugia;28/10/2021;"12";"5";"20";"7";"77";"21";"11";"18";"0";"1021";"0";"0";""
Perugia;29/10/2021;"12";"5";"19";"8";"79";"20";"7";"17";"0";"1017";"0";"0";""
Perugia;30/10/2021;"11";"5";"19";"8";"85";"20";"7";"15";"0";"1018";"0";"0";""
Perugia;31/10/2021;"13";"7";"18";"10";"81";"20";"6";"13";"0";"1016";"0";"0";"pioggia "
