LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Perugia;1/9/2021;"22";"14";"28";"14";"67";"21";"13";"22";"0";"1020";"0";"0";""
Perugia;2/9/2021;"23";"15";"29";"10";"50";"20";"16";"28";"0";"1021";"0";"0";""
Perugia;3/9/2021;"22";"14";"29";"10";"51";"19";"11";"18";"0";"1019";"0";"0";""
Perugia;4/9/2021;"22";"17";"29";"13";"60";"18";"12";"22";"0";"1015";"0";"0";""
Perugia;5/9/2021;"22";"15";"29";"12";"57";"20";"16";"24";"0";"1017";"0";"0";""
Perugia;6/9/2021;"23";"15";"29";"12";"54";"21";"19";"28";"0";"1020";"0";"0";""
Perugia;7/9/2021;"22";"14";"29";"10";"51";"20";"16";"24";"0";"1021";"0";"0";""
Perugia;8/9/2021;"22";"14";"29";"11";"53";"20";"10";"21";"0";"1018";"0";"0";""
Perugia;9/9/2021;"21";"13";"29";"11";"57";"21";"8";"13";"0";"1017";"0";"0";""
Perugia;10/9/2021;"22";"15";"30";"13";"61";"19";"10";"24";"0";"1016";"0";"0";"pioggia "
Perugia;11/9/2021;"23";"15";"30";"13";"59";"19";"13";"22";"0";"1016";"0";"0";""
Perugia;12/9/2021;"20";"13";"30";"12";"63";"21";"13";"24";"0";"1015";"0";"0";""
Perugia;13/9/2021;"20";"13";"31";"9";"55";"21";"8";"15";"0";"1016";"0";"0";""
Perugia;14/9/2021;"23";"14";"31";"10";"50";"20";"8";"15";"0";"1018";"0";"0";""
Perugia;15/9/2021;"22";"16";"30";"12";"56";"19";"8";"15";"0";"1019";"0";"0";""
Perugia;16/9/2021;"23";"17";"29";"14";"57";"19";"9";"22";"0";"1018";"0";"0";"pioggia "
Perugia;17/9/2021;"23";"18";"26";"18";"77";"19";"12";"24";"0";"1013";"0";"0";"pioggia "
Perugia;18/9/2021;"21";"15";"28";"16";"80";"20";"5";"13";"0";"1014";"0";"0";""
Perugia;19/9/2021;"20";"16";"27";"17";"82";"19";"10";"30";"0";"1013";"0";"0";"pioggia "
Perugia;20/9/2021;"20";"15";"25";"15";"77";"21";"5";"11";"0";"1014";"0";"0";""
Perugia;21/9/2021;"19";"15";"25";"14";"73";"21";"12";"26";"0";"1021";"0";"0";""
Perugia;22/9/2021;"19";"12";"24";"10";"58";"19";"17";"28";"0";"1021";"0";"0";""
Perugia;23/9/2021;"18";"12";"25";"9";"58";"19";"15";"22";"0";"1021";"0";"0";""
Perugia;24/9/2021;"19";"10";"28";"12";"68";"22";"9";"18";"0";"1020";"0";"0";""
Perugia;25/9/2021;"21";"14";"28";"15";"71";"21";"7";"13";"0";"1021";"0";"0";""
Perugia;26/9/2021;"21";"16";"27";"16";"74";"19";"9";"22";"0";"1021";"0";"0";"pioggia "
Perugia;27/9/2021;"22";"18";"28";"18";"77";"20";"9";"22";"0";"1017";"0";"0";"pioggia "
Perugia;28/9/2021;"21";"16";"28";"15";"72";"19";"18";"30";"0";"1018";"0";"0";""
Perugia;29/9/2021;"20";"13";"29";"13";"68";"19";"8";"15";"0";"1018";"0";"0";""
Perugia;30/9/2021;"19";"14";"27";"13";"74";"21";"14";"28";"0";"1020";"0";"0";""
