LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Roma;1/8/2021;"30";"24";"34";"18";"50";"20";"19";"41";"0";"1010";"0";"0";""
Roma;2/8/2021;"25";"21";"29";"17";"61";"21";"12";"21";"0";"1014";"0";"0";""
Roma;3/8/2021;"25";"21";"29";"15";"57";"20";"9";"21";"0";"1016";"0";"0";""
Roma;4/8/2021;"26";"19";"33";"17";"60";"20";"13";"26";"0";"1013";"0";"0";""
Roma;5/8/2021;"25";"22";"28";"19";"71";"19";"13";"21";"0";"1011";"0";"0";""
Roma;6/8/2021;"26";"21";"31";"18";"63";"20";"11";"18";"0";"1010";"0";"0";""
Roma;7/8/2021;"27";"21";"33";"16";"54";"21";"14";"24";"0";"1011";"0";"0";""
Roma;8/8/2021;"29";"23";"33";"18";"54";"20";"17";"30";"0";"1013";"0";"0";""
Roma;9/8/2021;"27";"23";"33";"22";"76";"19";"12";"24";"0";"1018";"0";"0";""
Roma;10/8/2021;"29";"23";"34";"17";"54";"21";"12";"24";"0";"1017";"0";"0";""
Roma;11/8/2021;"30";"25";"37";"15";"42";"19";"10";"24";"0";"1015";"0";"0";"pioggia "
Roma;12/8/2021;"30";"24";"37";"16";"45";"21";"8";"18";"0";"1017";"0";"0";""
Roma;13/8/2021;"31";"25";"36";"17";"46";"20";"8";"17";"0";"1019";"0";"0";""
Roma;14/8/2021;"31";"24";"37";"15";"43";"20";"9";"18";"0";"1019";"0";"0";""
Roma;15/8/2021;"31";"24";"37";"14";"39";"20";"9";"18";"0";"1016";"0";"0";""
Roma;16/8/2021;"29";"23";"34";"16";"47";"19";"14";"26";"0";"1013";"0";"0";""
Roma;17/8/2021;"27";"24";"31";"20";"70";"20";"14";"18";"0";"1011";"0";"0";""
Roma;18/8/2021;"26";"23";"31";"20";"70";"21";"9";"21";"0";"1012";"0";"0";""
Roma;19/8/2021;"26";"23";"31";"19";"68";"19";"8";"18";"0";"1013";"0";"0";""
Roma;20/8/2021;"26";"21";"32";"18";"63";"20";"8";"22";"0";"1014";"0";"0";""
Roma;21/8/2021;"26";"20";"32";"17";"59";"21";"11";"21";"0";"1017";"0";"0";""
Roma;22/8/2021;"28";"22";"34";"16";"54";"21";"10";"18";"0";"1018";"0";"0";""
Roma;23/8/2021;"26";"23";"30";"19";"66";"21";"11";"18";"0";"1015";"0";"0";""
Roma;24/8/2021;"24";"19";"31";"18";"69";"18";"9";"37";"0";"1012";"0";"0";"pioggia temporale "
Roma;25/8/2021;"24";"19";"30";"18";"73";"21";"8";"17";"0";"1012";"0";"0";""
Roma;26/8/2021;"25";"22";"30";"18";"68";"19";"10";"21";"0";"1011";"0";"0";"pioggia "
Roma;27/8/2021;"25";"22";"28";"19";"70";"20";"14";"22";"0";"1010";"0";"0";""
Roma;28/8/2021;"24";"21";"28";"16";"62";"19";"16";"24";"0";"1008";"0";"0";""
Roma;29/8/2021;"22";"16";"29";"9";"48";"20";"13";"21";"0";"1010";"0";"0";""
Roma;30/8/2021;"22";"15";"28";"10";"48";"21";"9";"18";"0";"1013";"0";"0";""
Roma;31/8/2021;"23";"16";"28";"13";"55";"19";"9";"18";"0";"1016";"0";"0";""
