LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Roma;1/4/2021;"15";"9";"20";"10";"77";"14";"9";"18";"0";"1020";"0";"0";"nebbia "
Roma;2/4/2021;"14";"9";"20";"11";"82";"14";"9";"18";"0";"1016";"0";"0";"nebbia "
Roma;3/4/2021;"14";"8";"19";"8";"71";"20";"10";"21";"0";"1011";"0";"0";"pioggia "
Roma;4/4/2021;"14";"11";"18";"7";"64";"20";"14";"24";"0";"1011";"0";"0";"pioggia "
Roma;5/4/2021;"12";"8";"16";"4";"62";"20";"8";"17";"0";"1013";"0";"0";""
Roma;6/4/2021;"12";"7";"17";"7";"72";"22";"17";"31";"0";"1004";"0";"0";""
Roma;7/4/2021;"8";"4";"13";"1";"51";"21";"16";"30";"0";"1010";"0";"0";""
Roma;8/4/2021;"8";"0";"14";"0";"38";"19";"11";"21";"0";"1025";"0";"0";""
Roma;9/4/2021;"9";"1";"16";"3";"51";"20";"10";"22";"0";"1028";"0";"0";""
Roma;10/4/2021;"12";"7";"15";"5";"63";"19";"13";"24";"0";"1024";"0";"0";"pioggia "
Roma;11/4/2021;"14";"11";"16";"7";"66";"20";"15";"28";"0";"1020";"0";"0";"pioggia "
Roma;12/4/2021;"13";"10";"16";"9";"82";"15";"16";"26";"0";"1018";"0";"0";"pioggia "
Roma;13/4/2021;"11";"8";"16";"7";"76";"16";"13";"22";"0";"1016";"0";"0";"pioggia "
Roma;14/4/2021;"10";"4";"14";"5";"74";"21";"11";"18";"0";"1019";"0";"0";"nebbia "
Roma;15/4/2021;"11";"7";"15";"5";"65";"20";"10";"21";"0";"1019";"0";"0";""
Roma;16/4/2021;"11";"5";"16";"4";"65";"21";"10";"21";"0";"1015";"0";"0";"pioggia "
Roma;17/4/2021;"12";"6";"17";"3";"51";"22";"10";"21";"0";"1011";"0";"0";""
Roma;18/4/2021;"10";"6";"15";"5";"75";"15";"9";"24";"0";"1013";"0";"0";"pioggia temporale "
Roma;19/4/2021;"8";"6";"14";"6";"87";"18";"8";"17";"0";"1014";"0";"0";"pioggia temporale "
Roma;20/4/2021;"11";"5";"16";"6";"71";"20";"7";"22";"0";"1016";"0";"0";"pioggia "
Roma;21/4/2021;"13";"6";"17";"7";"69";"20";"8";"15";"0";"1018";"0";"0";""
Roma;22/4/2021;"13";"10";"16";"9";"78";"20";"7";"13";"0";"1017";"0";"0";"pioggia "
Roma;23/4/2021;"14";"9";"20";"10";"78";"19";"8";"21";"0";"1018";"0";"0";"pioggia temporale "
Roma;24/4/2021;"15";"8";"22";"6";"56";"20";"12";"21";"0";"1018";"0";"0";""
Roma;25/4/2021;"15";"9";"20";"8";"61";"21";"9";"17";"0";"1018";"0";"0";""
Roma;26/4/2021;"16";"9";"21";"5";"51";"22";"10";"26";"0";"1013";"0";"0";""
Roma;27/4/2021;"17";"14";"20";"12";"73";"16";"14";"31";"0";"1006";"0";"0";"pioggia "
Roma;28/4/2021;"16";"14";"19";"14";"84";"14";"14";"28";"0";"1008";"0";"0";"pioggia "
Roma;29/4/2021;"16";"12";"19";"14";"88";"16";"8";"24";"0";"1012";"0";"0";"pioggia "
Roma;30/4/2021;"19";"11";"26";"13";"73";"18";"10";"24";"0";"1011";"0";"0";""
