LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Roma;1/12/2021;"10";"5";"12";"7";"81";"17";"14";"24";"0";"1016";"0";"0";"pioggia "
Roma;2/12/2021;"12";"10";"14";"10";"85";"15";"15";"31";"0";"1002";"0";"0";"pioggia temporale "
Roma;3/12/2021;"10";"6";"13";"6";"77";"21";"11";"15";"0";"1004";"0";"0";""
Roma;4/12/2021;"9";"3";"14";"4";"75";"19";"11";"21";"0";"1012";"0";"0";"pioggia "
Roma;5/12/2021;"12";"7";"14";"7";"72";"21";"14";"21";"0";"1003";"0";"0";"pioggia "
Roma;6/12/2021;"6";"5";"9";"3";"79";"21";"11";"18";"0";"1003";"0";"0";"pioggia "
Roma;7/12/2021;"5";"2";"11";"1";"62";"19";"10";"21";"0";"1011";"0";"0";""
Roma;8/12/2021;"10";"2";"14";"8";"72";"16";"22";"42";"0";"1007";"0";"0";"pioggia "
Roma;9/12/2021;"10";"6";"12";"5";"75";"20";"12";"21";"0";"1001";"0";"0";"pioggia "
Roma;10/12/2021;"7";"1";"10";"4";"83";"20";"12";"33";"0";"1002";"0";"0";"pioggia "
Roma;11/12/2021;"8";"5";"9";"3";"73";"21";"22";"31";"0";"999";"0";"0";"pioggia "
Roma;12/12/2021;"8";"5";"12";"1";"58";"20";"17";"26";"0";"1016";"0";"0";""
Roma;13/12/2021;"7";"0";"12";"1";"55";"22";"10";"18";"0";"1023";"0";"0";""
Roma;14/12/2021;"9";"6";"15";"3";"63";"19";"12";"17";"0";"1022";"0";"0";""
Roma;15/12/2021;"9";"4";"14";"4";"71";"19";"7";"13";"0";"1024";"0";"0";""
Roma;16/12/2021;"8";"3";"14";"4";"78";"20";"7";"11";"0";"1026";"0";"0";""
Roma;17/12/2021;"9";"4";"14";"4";"72";"19";"7";"15";"0";"1027";"0";"0";""
Roma;18/12/2021;"8";"3";"14";"2";"55";"19";"11";"18";"0";"1027";"0";"0";""
Roma;19/12/2021;"6";"2";"12";"1";"59";"19";"6";"13";"0";"1023";"0";"0";""
Roma;20/12/2021;"8";"2";"12";"5";"73";"19";"7";"13";"0";"1018";"0";"0";""
Roma;21/12/2021;"8";"3";"13";"3";"74";"20";"6";"11";"0";"1021";"0";"0";""
Roma;22/12/2021;"9";"4";"12";"6";"81";"19";"7";"15";"0";"1022";"0";"0";"pioggia "
Roma;23/12/2021;"7";"2";"13";"5";"87";"19";"7";"17";"0";"1023";"0";"0";"pioggia "
Roma;24/12/2021;"13";"11";"13";"11";"87";"18";"15";"22";"0";"1018";"0";"0";"pioggia "
Roma;25/12/2021;"14";"13";"14";"12";"87";"19";"25";"31";"0";"1011";"0";"0";"pioggia "
Roma;26/12/2021;"13";"10";"14";"12";"94";"14";"10";"15";"0";"1008";"0";"0";"pioggia "
Roma;27/12/2021;"11";"6";"15";"10";"89";"18";"8";"17";"0";"1009";"0";"0";"pioggia nebbia "
Roma;28/12/2021;"12";"9";"14";"10";"86";"20";"7";"17";"0";"1009";"0";"0";"pioggia "
Roma;29/12/2021;"12";"10";"17";"10";"87";"18";"6";"13";"0";"1010";"0";"0";""
Roma;30/12/2021;"10";"6";"15";"8";"86";"19";"5";"13";"0";"1017";"0";"0";""
Roma;31/12/2021;"11";"6";"17";"7";"79";"17";"6";"9";"0";"1025";"0";"0";"nebbia "
