LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Roma;1/2/2021;"10";"6";"15";"7";"82";"19";"8";"21";"0";"999";"0";"0";"pioggia "
Roma;2/2/2021;"11";"8";"16";"8";"80";"17";"6";"9";"0";"1010";"0";"0";""
Roma;3/2/2021;"12";"8";"15";"8";"79";"19";"12";"22";"0";"1017";"0";"0";""
Roma;4/2/2021;"13";"8";"17";"9";"79";"21";"12";"22";"0";"1018";"0";"0";""
Roma;5/2/2021;"13";"6";"19";"8";"75";"21";"8";"21";"0";"1016";"0";"0";""
Roma;6/2/2021;"15";"8";"21";"5";"57";"20";"14";"33";"0";"1012";"0";"0";""
Roma;7/2/2021;"15";"12";"21";"9";"67";"16";"25";"61";"0";"1001";"0";"0";"pioggia "
Roma;8/2/2021;"11";"9";"14";"7";"78";"20";"14";"28";"0";"1000";"0";"0";"pioggia "
Roma;9/2/2021;"13";"11";"14";"9";"79";"19";"16";"26";"0";"1004";"0";"0";"pioggia "
Roma;10/2/2021;"13";"10";"15";"10";"84";"16";"18";"28";"0";"1004";"0";"0";"pioggia "
Roma;11/2/2021;"10";"6";"16";"7";"81";"19";"6";"13";"0";"1010";"0";"0";"nebbia "
Roma;12/2/2021;"10";"5";"15";"6";"77";"18";"12";"21";"0";"1017";"0";"0";"pioggia "
Roma;13/2/2021;"6";"0";"10";"4";"72";"16";"18";"28";"0";"1016";"0";"0";"pioggia "
Roma;14/2/2021;"2";"0";"7";"0";"41";"19";"21";"31";"0";"1028";"0";"0";""
Roma;15/2/2021;"4";"-2";"9";"0";"44";"20";"8";"21";"0";"1035";"0";"0";""
Roma;16/2/2021;"5";"-2";"10";"1";"59";"19";"6";"11";"0";"1029";"0";"0";""
Roma;17/2/2021;"9";"6";"12";"4";"72";"19";"5";"11";"0";"1023";"0";"0";"pioggia "
Roma;18/2/2021;"10";"4";"15";"5";"71";"19";"6";"13";"0";"1024";"0";"0";""
Roma;19/2/2021;"9";"4";"14";"5";"73";"20";"8";"15";"0";"1026";"0";"0";""
Roma;20/2/2021;"12";"9";"16";"6";"70";"19";"7";"13";"0";"1026";"0";"0";""
Roma;21/2/2021;"10";"4";"17";"6";"75";"19";"7";"17";"0";"1025";"0";"0";""
Roma;22/2/2021;"11";"5";"17";"7";"78";"18";"7";"15";"0";"1029";"0";"0";""
Roma;23/2/2021;"11";"7";"18";"8";"82";"12";"7";"13";"0";"1034";"0";"0";"nebbia "
Roma;24/2/2021;"12";"6";"19";"8";"79";"13";"6";"11";"0";"1033";"0";"0";""
Roma;25/2/2021;"12";"6";"19";"7";"76";"17";"5";"15";"0";"1031";"0";"0";""
Roma;26/2/2021;"11";"6";"17";"8";"84";"8";"6";"11";"0";"1027";"0";"0";"nebbia "
Roma;27/2/2021;"10";"8";"14";"8";"85";"5";"5";"13";"0";"1023";"0";"0";"nebbia "
Roma;28/2/2021;"11";"5";"18";"6";"71";"15";"7";"13";"0";"1025";"0";"0";""
