LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Roma;1/1/2021;"9";"4";"12";"5";"77";"18";"19";"31";"0";"1010";"0";"0";"pioggia "
Roma;2/1/2021;"10";"8";"13";"7";"79";"15";"22";"41";"0";"1005";"0";"0";"pioggia temporale "
Roma;3/1/2021;"7";"5";"9";"5";"86";"14";"13";"31";"0";"1009";"0";"0";"pioggia temporale "
Roma;4/1/2021;"7";"4";"11";"4";"82";"15";"10";"18";"0";"1010";"0";"0";"pioggia temporale "
Roma;5/1/2021;"8";"6";"10";"5";"82";"18";"16";"31";"0";"1008";"0";"0";"pioggia temporale "
Roma;6/1/2021;"8";"4";"11";"3";"70";"20";"10";"17";"0";"1012";"0";"0";""
Roma;7/1/2021;"5";"2";"8";"2";"80";"18";"7";"24";"0";"1013";"0";"0";"pioggia "
Roma;8/1/2021;"6";"3";"8";"3";"84";"15";"10";"13";"0";"1009";"0";"0";""
Roma;9/1/2021;"6";"4";"9";"4";"86";"18";"14";"24";"0";"1010";"0";"0";"pioggia "
Roma;10/1/2021;"7";"4";"10";"5";"88";"20";"16";"21";"0";"1008";"0";"0";"pioggia "
Roma;11/1/2021;"5";"2";"7";"2";"82";"20";"11";"17";"0";"1012";"0";"0";"pioggia "
Roma;12/1/2021;"5";"1";"11";"2";"83";"17";"7";"11";"0";"1014";"0";"0";""
Roma;13/1/2021;"5";"0";"12";"3";"78";"19";"8";"24";"0";"1014";"0";"0";""
Roma;14/1/2021;;;;;;;;;;;;;
Roma;15/1/2021;"8";"3";"11";"2";"62";"19";"10";"21";"0";"1010";"0";"0";""
Roma;16/1/2021;"4";"1";"10";"0";"56";"20";"12";"18";"0";"1016";"0";"0";""
Roma;17/1/2021;"2";"-2";"7";"1";"76";"20";"9";"21";"0";"1015";"0";"0";"pioggia "
Roma;18/1/2021;"5";"-1";"12";"1";"68";"21";"10";"15";"0";"1021";"0";"0";""
Roma;19/1/2021;"6";"-1";"12";"3";"71";"20";"8";"17";"0";"1026";"0";"0";""
Roma;20/1/2021;"10";"6";"12";"5";"74";"19";"16";"24";"0";"1023";"0";"0";"pioggia "
Roma;21/1/2021;"13";"12";"15";"9";"78";"18";"24";"30";"0";"1017";"0";"0";""
Roma;22/1/2021;"13";"9";"14";"11";"85";"12";"25";"37";"0";"1009";"0";"0";"pioggia temporale "
Roma;23/1/2021;"11";"8";"13";"5";"68";"20";"21";"30";"0";"1002";"0";"0";"pioggia temporale "
Roma;24/1/2021;"10";"4";"13";"7";"80";"16";"16";"26";"0";"999";"0";"0";"pioggia "
Roma;25/1/2021;"9";"3";"13";"6";"76";"18";"15";"30";"0";"1004";"0";"0";"pioggia "
Roma;26/1/2021;"6";"2";"11";"3";"62";"21";"11";"24";"0";"1012";"0";"0";""
Roma;27/1/2021;"4";"-2";"11";"0";"66";"20";"5";"9";"0";"1016";"0";"0";""
Roma;28/1/2021;"6";"-1";"12";"2";"61";"22";"6";"13";"0";"1015";"0";"0";""
Roma;29/1/2021;"11";"6";"14";"8";"81";"19";"11";"26";"0";"1009";"0";"0";"pioggia "
Roma;30/1/2021;"12";"6";"15";"7";"72";"20";"12";"44";"0";"1005";"0";"0";"pioggia "
Roma;31/1/2021;"12";"9";"14";"8";"81";"18";"14";"39";"0";"995";"0";"0";"pioggia "
