LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Roma;1/6/2021;"19";"12";"24";"11";"60";"19";"9";"21";"0";"1017";"0";"0";""
Roma;2/6/2021;"20";"13";"25";"9";"51";"20";"8";"18";"0";"1019";"0";"0";""
Roma;3/6/2021;"23";"15";"28";"7";"39";"20";"9";"21";"0";"1023";"0";"0";""
Roma;4/6/2021;"23";"15";"29";"8";"39";"20";"8";"18";"0";"1023";"0";"0";""
Roma;5/6/2021;"22";"18";"25";"12";"54";"21";"7";"13";"0";"1022";"0";"0";""
Roma;6/6/2021;"21";"17";"26";"12";"61";"19";"9";"22";"0";"1018";"0";"0";"pioggia "
Roma;7/6/2021;"20";"16";"26";"16";"78";"17";"10";"21";"0";"1016";"0";"0";"pioggia "
Roma;8/6/2021;"20";"17";"24";"17";"85";"18";"9";"18";"0";"1016";"0";"0";"pioggia temporale "
Roma;9/6/2021;"20";"15";"27";"15";"77";"18";"9";"17";"0";"1015";"0";"0";"pioggia temporale "
Roma;10/6/2021;"21";"15";"30";"15";"70";"19";"10";"22";"0";"1015";"0";"0";"pioggia temporale "
Roma;11/6/2021;"22";"16";"28";"15";"68";"22";"10";"24";"0";"1015";"0";"0";"pioggia temporale "
Roma;12/6/2021;"23";"16";"28";"15";"63";"19";"9";"18";"0";"1017";"0";"0";""
Roma;13/6/2021;"24";"18";"30";"15";"58";"20";"8";"21";"0";"1018";"0";"0";""
Roma;14/6/2021;"24";"20";"29";"17";"67";"20";"10";"22";"0";"1016";"0";"0";""
Roma;15/6/2021;"23";"19";"26";"16";"67";"20";"9";"18";"0";"1017";"0";"0";""
Roma;16/6/2021;"23";"19";"27";"18";"73";"19";"7";"15";"0";"1017";"0";"0";""
Roma;17/6/2021;"24";"19";"29";"17";"68";"20";"9";"22";"0";"1018";"0";"0";""
Roma;18/6/2021;"24";"19";"29";"17";"64";"21";"7";"18";"0";"1018";"0";"0";""
Roma;19/6/2021;"25";"19";"30";"14";"54";"20";"7";"17";"0";"1017";"0";"0";""
Roma;20/6/2021;"26";"20";"30";"13";"47";"21";"10";"26";"0";"1015";"0";"0";""
Roma;21/6/2021;"28";"22";"32";"14";"45";"20";"14";"26";"0";"1011";"0";"0";""
Roma;22/6/2021;"27";"21";"33";"18";"58";"20";"9";"17";"0";"1012";"0";"0";""
Roma;23/6/2021;"27";"22";"33";"20";"66";"17";"11";"26";"0";"1014";"0";"0";"pioggia temporale "
Roma;24/6/2021;"26";"22";"30";"20";"75";"19";"10";"22";"0";"1017";"0";"0";"pioggia temporale "
Roma;25/6/2021;"25";"21";"31";"19";"70";"20";"9";"18";"0";"1016";"0";"0";"pioggia temporale "
Roma;26/6/2021;"25";"18";"31";"15";"56";"19";"9";"18";"0";"1015";"0";"0";""
Roma;27/6/2021;"27";"20";"32";"14";"48";"20";"9";"18";"0";"1014";"0";"0";""
Roma;28/6/2021;"29";"21";"34";"15";"46";"20";"12";"22";"0";"1014";"0";"0";""
Roma;29/6/2021;"27";"21";"32";"20";"70";"18";"11";"26";"0";"1014";"0";"0";""
Roma;30/6/2021;"26";"21";"30";"18";"66";"19";"12";"24";"0";"1013";"0";"0";""
