LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Roma;1/7/2021;"25";"21";"30";"17";"64";"19";"10";"21";"0";"1014";"0";"0";""
Roma;2/7/2021;"25";"20";"30";"16";"59";"20";"10";"21";"0";"1014";"0";"0";""
Roma;3/7/2021;"26";"19";"31";"15";"55";"19";"9";"21";"0";"1015";"0";"0";""
Roma;4/7/2021;"26";"23";"30";"17";"57";"20";"15";"24";"0";"1012";"0";"0";""
Roma;5/7/2021;"26";"21";"30";"18";"66";"20";"13";"24";"0";"1011";"0";"0";""
Roma;6/7/2021;"27";"21";"33";"19";"61";"21";"9";"18";"0";"1013";"0";"0";""
Roma;7/7/2021;"28";"22";"32";"18";"57";"19";"9";"18";"0";"1015";"0";"0";""
Roma;8/7/2021;"27";"22";"31";"18";"59";"20";"11";"26";"0";"1017";"0";"0";""
Roma;9/7/2021;"27";"23";"32";"19";"65";"19";"9";"18";"0";"1017";"0";"0";""
Roma;10/7/2021;"26";"21";"30";"17";"60";"21";"10";"18";"0";"1014";"0";"0";""
Roma;11/7/2021;"26";"20";"32";"16";"57";"18";"10";"22";"0";"1014";"0";"0";""
Roma;12/7/2021;"26";"19";"33";"18";"64";"20";"11";"26";"0";"1014";"0";"0";""
Roma;13/7/2021;"26";"22";"31";"16";"58";"21";"18";"41";"0";"1010";"0";"0";"pioggia "
Roma;14/7/2021;"23";"19";"26";"15";"63";"19";"15";"22";"0";"1014";"0";"0";""
Roma;15/7/2021;"23";"19";"27";"16";"66";"19";"14";"22";"0";"1015";"0";"0";""
Roma;16/7/2021;"23";"21";"26";"17";"69";"20";"13";"22";"0";"1012";"0";"0";"pioggia "
Roma;17/7/2021;"22";"19";"26";"16";"68";"20";"16";"35";"0";"1009";"0";"0";"pioggia "
Roma;18/7/2021;"24";"20";"31";"16";"62";"21";"12";"26";"0";"1006";"0";"0";"pioggia temporale "
Roma;19/7/2021;"26";"20";"31";"16";"57";"20";"10";"21";"0";"1009";"0";"0";""
Roma;20/7/2021;"26";"20";"32";"17";"60";"21";"9";"21";"0";"1013";"0";"0";""
Roma;21/7/2021;"27";"21";"34";"15";"51";"20";"10";"24";"0";"1017";"0";"0";""
Roma;22/7/2021;"28";"21";"34";"16";"52";"21";"10";"21";"0";"1016";"0";"0";""
Roma;23/7/2021;"28";"22";"33";"15";"50";"20";"9";"22";"0";"1015";"0";"0";""
Roma;24/7/2021;"27";"22";"33";"18";"58";"20";"10";"18";"0";"1014";"0";"0";""
Roma;25/7/2021;"28";"22";"33";"12";"40";"20";"20";"48";"0";"1012";"0";"0";""
Roma;26/7/2021;"31";"27";"35";"11";"31";"19";"17";"30";"0";"1014";"0";"0";"pioggia "
Roma;27/7/2021;"29";"23";"35";"11";"33";"18";"12";"24";"0";"1017";"0";"0";""
Roma;28/7/2021;"29";"20";"35";"13";"42";"19";"12";"24";"0";"1016";"0";"0";""
Roma;29/7/2021;"29";"21";"34";"15";"46";"20";"14";"28";"0";"1014";"0";"0";""
Roma;30/7/2021;"28";"22";"34";"19";"58";"22";"8";"17";"0";"1013";"0";"0";""
Roma;31/7/2021;"29";"22";"35";"17";"52";"20";"14";"26";"0";"1010";"0";"0";""
