LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Roma;1/5/2021;"18";"15";"21";"14";"79";"14";"17";"37";"0";"1010";"0";"0";"pioggia "
Roma;2/5/2021;"15";"13";"17";"11";"74";"18";"14";"21";"0";"1016";"0";"0";""
Roma;3/5/2021;"15";"11";"19";"8";"66";"20";"13";"24";"0";"1020";"0";"0";""
Roma;4/5/2021;"13";"8";"18";"8";"72";"21";"6";"11";"0";"1019";"0";"0";"pioggia "
Roma;5/5/2021;"15";"10";"19";"10";"78";"19";"9";"22";"0";"1014";"0";"0";""
Roma;6/5/2021;"17";"15";"20";"11";"67";"20";"18";"28";"0";"1016";"0";"0";""
Roma;7/5/2021;"18";"13";"21";"11";"65";"20";"13";"22";"0";"1015";"0";"0";""
Roma;8/5/2021;"18";"13";"24";"12";"66";"19";"9";"18";"0";"1017";"0";"0";""
Roma;9/5/2021;"19";"13";"25";"13";"70";"20";"8";"21";"0";"1018";"0";"0";""
Roma;10/5/2021;"20";"14";"25";"11";"58";"21";"12";"24";"0";"1017";"0";"0";""
Roma;11/5/2021;"18";"15";"25";"13";"72";"18";"11";"28";"0";"1014";"0";"0";"pioggia "
Roma;12/5/2021;"16";"13";"20";"12";"77";"21";"12";"18";"0";"1012";"0";"0";""
Roma;13/5/2021;"16";"13";"19";"11";"74";"18";"14";"24";"0";"1009";"0";"0";"pioggia "
Roma;14/5/2021;"15";"12";"18";"10";"75";"19";"11";"22";"0";"1011";"0";"0";"pioggia "
Roma;15/5/2021;"15";"11";"19";"10";"73";"22";"12";"21";"0";"1012";"0";"0";"pioggia "
Roma;16/5/2021;"18";"14";"20";"11";"68";"20";"13";"21";"0";"1012";"0";"0";"pioggia "
Roma;17/5/2021;"18";"14";"21";"12";"70";"19";"14";"26";"0";"1010";"0";"0";""
Roma;18/5/2021;"16";"11";"21";"9";"65";"21";"10";"21";"0";"1015";"0";"0";""
Roma;19/5/2021;"17";"14";"20";"13";"74";"22";"15";"21";"0";"1013";"0";"0";""
Roma;20/5/2021;"17";"10";"23";"6";"53";"21";"12";"24";"0";"1017";"0";"0";""
Roma;21/5/2021;"18";"11";"23";"7";"53";"20";"10";"21";"0";"1020";"0";"0";""
Roma;22/5/2021;"19";"15";"23";"7";"45";"18";"20";"33";"0";"1016";"0";"0";""
Roma;23/5/2021;"20";"16";"23";"13";"67";"20";"16";"28";"0";"1017";"0";"0";"pioggia "
Roma;24/5/2021;"21";"16";"30";"13";"67";"18";"15";"37";"0";"1015";"0";"0";"pioggia "
Roma;25/5/2021;"18";"14";"23";"14";"76";"16";"9";"17";"0";"1019";"0";"0";"nebbia "
Roma;26/5/2021;"18";"12";"23";"11";"65";"18";"8";"17";"0";"1018";"0";"0";""
Roma;27/5/2021;"18";"14";"24";"9";"57";"18";"9";"18";"0";"1016";"0";"0";""
Roma;28/5/2021;"20";"11";"27";"10";"55";"19";"9";"21";"0";"1017";"0";"0";""
Roma;29/5/2021;"20";"14";"27";"10";"55";"17";"8";"17";"0";"1016";"0";"0";""
Roma;30/5/2021;"19";"7";"24";"14";"73";"22";"9";"18";"0";"1015";"0";"0";"pioggia "
Roma;31/5/2021;"19";"14";"24";"11";"60";"21";"10";"24";"0";"1017";"0";"0";""
