LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Roma;1/3/2021;"10";"5";"16";"5";"70";"19";"8";"15";"0";"1027";"0";"0";""
Roma;2/3/2021;"10";"4";"17";"5";"69";"19";"7";"13";"0";"1031";"0";"0";""
Roma;3/3/2021;"11";"4";"17";"5";"67";"20";"7";"15";"0";"1030";"0";"0";""
Roma;4/3/2021;"10";"4";"15";"5";"71";"20";"7";"13";"0";"1025";"0";"0";""
Roma;5/3/2021;"11";"7";"14";"6";"72";"21";"10";"21";"0";"1018";"0";"0";""
Roma;6/3/2021;"12";"9";"15";"9";"83";"12";"6";"15";"0";"1022";"0";"0";"pioggia "
Roma;7/3/2021;"10";"8";"13";"8";"85";"17";"8";"11";"0";"1022";"0";"0";"pioggia "
Roma;8/3/2021;"10";"9";"11";"8";"88";"11";"10";"22";"0";"1014";"0";"0";"pioggia "
Roma;9/3/2021;"10";"8";"14";"9";"90";"13";"12";"18";"0";"1009";"0";"0";"pioggia temporale "
Roma;10/3/2021;"10";"5";"15";"4";"63";"19";"14";"24";"0";"1013";"0";"0";""
Roma;11/3/2021;"9";"1";"15";"5";"61";"20";"9";"15";"0";"1022";"0";"0";""
Roma;12/3/2021;"13";"12";"15";"8";"74";"21";"18";"26";"0";"1018";"0";"0";"pioggia "
Roma;13/3/2021;"14";"11";"17";"9";"74";"22";"14";"22";"0";"1016";"0";"0";""
Roma;14/3/2021;"12";"7";"16";"7";"68";"20";"15";"24";"0";"1011";"0";"0";"pioggia "
Roma;15/3/2021;"9";"3";"15";"2";"61";"20";"10";"24";"0";"1011";"0";"0";""
Roma;16/3/2021;"8";"3";"13";"2";"63";"18";"9";"28";"0";"1012";"0";"0";""
Roma;17/3/2021;"7";"1";"14";"2";"60";"20";"9";"22";"0";"1015";"0";"0";""
Roma;18/3/2021;"8";"2";"13";"1";"59";"20";"9";"18";"0";"1014";"0";"0";""
Roma;19/3/2021;"7";"1";"12";"1";"61";"19";"8";"15";"0";"1012";"0";"0";""
Roma;20/3/2021;"9";"5";"14";"1";"51";"19";"10";"17";"0";"1011";"0";"0";""
Roma;21/3/2021;"9";"4";"13";"0";"44";"22";"14";"24";"0";"1006";"0";"0";""
Roma;22/3/2021;"8";"2";"15";"0";"43";"19";"12";"26";"0";"1007";"0";"0";""
Roma;23/3/2021;"8";"5";"13";"0";"36";"19";"21";"37";"0";"1017";"0";"0";""
Roma;24/3/2021;"9";"1";"16";"3";"51";"20";"11";"24";"0";"1022";"0";"0";""
Roma;25/3/2021;"10";"2";"16";"5";"72";"20";"8";"13";"0";"1022";"0";"0";""
Roma;26/3/2021;"12";"6";"16";"7";"73";"20";"9";"18";"0";"1025";"0";"0";""
Roma;27/3/2021;"13";"8";"17";"8";"74";"20";"11";"21";"0";"1027";"0";"0";""
Roma;28/3/2021;"13";"7";"18";"8";"73";"19";"7";"13";"0";"1030";"0";"0";""
Roma;29/3/2021;"13";"6";"20";"7";"69";"20";"8";"17";"0";"1031";"0";"0";""
Roma;30/3/2021;"15";"8";"22";"7";"61";"21";"8";"17";"0";"1029";"0";"0";""
Roma;31/3/2021;"15";"8";"23";"6";"57";"19";"6";"15";"0";"1024";"0";"0";""
