LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Roma;1/11/2021;"18";"16";"20";"15";"82";"18";"15";"33";"0";"1006";"0";"0";"pioggia "
Roma;2/11/2021;"16";"12";"20";"12";"80";"20";"9";"17";"0";"1007";"0";"0";"nebbia "
Roma;3/11/2021;"17";"13";"19";"14";"82";"16";"19";"30";"0";"1005";"0";"0";"pioggia temporale "
Roma;4/11/2021;"14";"11";"16";"11";"80";"20";"11";"17";"0";"1010";"0";"0";"pioggia "
Roma;5/11/2021;"12";"9";"16";"9";"81";"21";"7";"11";"0";"1015";"0";"0";"pioggia "
Roma;6/11/2021;"14";"10";"19";"11";"82";"19";"15";"26";"0";"1017";"0";"0";"pioggia "
Roma;7/11/2021;"20";"14";"26";"12";"64";"21";"20";"35";"0";"1013";"0";"0";""
Roma;8/11/2021;"16";"14";"19";"14";"90";"16";"7";"13";"0";"1012";"0";"0";"pioggia temporale "
Roma;9/11/2021;"15";"12";"19";"13";"88";"20";"9";"13";"0";"1017";"0";"0";"pioggia "
Roma;10/11/2021;"18";"14";"23";"13";"74";"18";"17";"30";"0";"1021";"0";"0";"pioggia "
Roma;11/11/2021;"17";"14";"19";"14";"87";"14";"7";"13";"0";"1020";"0";"0";"pioggia temporale "
Roma;12/11/2021;"16";"13";"20";"12";"81";"19";"9";"18";"0";"1017";"0";"0";"pioggia temporale "
Roma;13/11/2021;"14";"10";"19";"11";"86";"18";"5";"9";"0";"1017";"0";"0";""
Roma;14/11/2021;"13";"10";"18";"11";"87";"17";"10";"28";"0";"1013";"0";"0";"pioggia temporale "
Roma;15/11/2021;"16";"12";"20";"9";"67";"20";"12";"30";"0";"1013";"0";"0";"pioggia temporale "
Roma;16/11/2021;"13";"11";"14";"12";"94";"14";"8";"15";"0";"1014";"0";"0";"pioggia "
Roma;17/11/2021;"13";"9";"17";"11";"85";"21";"8";"18";"0";"1015";"0";"0";""
Roma;18/11/2021;"13";"10";"19";"10";"82";"20";"8";"15";"0";"1021";"0";"0";""
Roma;19/11/2021;"13";"9";"18";"10";"82";"21";"6";"11";"0";"1026";"0";"0";""
Roma;20/11/2021;"11";"7";"18";"8";"84";"16";"5";"8";"0";"1023";"0";"0";""
Roma;21/11/2021;"12";"7";"16";"10";"86";"17";"6";"11";"0";"1014";"0";"0";"nebbia "
Roma;22/11/2021;"14";"12";"17";"11";"85";"19";"8";"15";"0";"1009";"0";"0";"pioggia "
Roma;23/11/2021;"13";"11";"16";"10";"82";"21";"10";"13";"0";"1015";"0";"0";"pioggia "
Roma;24/11/2021;"13";"8";"18";"7";"70";"20";"11";"22";"0";"1017";"0";"0";""
Roma;25/11/2021;"13";"11";"16";"10";"83";"14";"14";"28";"0";"1008";"0";"0";"pioggia temporale nebbia "
Roma;26/11/2021;"11";"9";"14";"9";"87";"15";"10";"17";"0";"999";"0";"0";"pioggia temporale nebbia "
Roma;27/11/2021;"13";"10";"15";"8";"73";"20";"12";"18";"0";"999";"0";"0";"pioggia "
Roma;28/11/2021;"11";"9";"12";"6";"73";"20";"11";"17";"0";"997";"0";"0";"pioggia "
Roma;29/11/2021;"7";"4";"10";"3";"79";"18";"13";"24";"0";"998";"0";"0";"pioggia "
Roma;30/11/2021;"6";"2";"10";"1";"63";"20";"10";"15";"0";"1017";"0";"0";""
