LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Roma;1/10/2021;"22";"17";"27";"14";"64";"20";"8";"15";"0";"1020";"0";"0";""
Roma;2/10/2021;"21";"16";"25";"14";"68";"19";"8";"18";"0";"1018";"0";"0";""
Roma;3/10/2021;"21";"16";"27";"14";"66";"21";"13";"26";"0";"1018";"0";"0";""
Roma;4/10/2021;"23";"17";"27";"16";"65";"21";"17";"30";"0";"1018";"0";"0";"pioggia "
Roma;5/10/2021;"20";"15";"23";"14";"72";"19";"11";"31";"0";"1018";"0";"0";"pioggia temporale "
Roma;6/10/2021;"19";"17";"21";"14";"72";"22";"13";"26";"0";"1014";"0";"0";"pioggia "
Roma;7/10/2021;"16";"11";"21";"11";"75";"21";"15";"26";"0";"1008";"0";"0";""
Roma;8/10/2021;"16";"13";"21";"11";"71";"20";"14";"22";"0";"1012";"0";"0";"pioggia "
Roma;9/10/2021;"17";"12";"23";"10";"66";"19";"11";"15";"0";"1015";"0";"0";"pioggia "
Roma;10/10/2021;"15";"11";"19";"7";"62";"20";"17";"33";"0";"1015";"0";"0";"pioggia "
Roma;11/10/2021;"13";"10";"18";"7";"69";"20";"15";"24";"0";"1015";"0";"0";"pioggia "
Roma;12/10/2021;"13";"8";"20";"8";"75";"21";"9";"15";"0";"1014";"0";"0";""
Roma;13/10/2021;"15";"10";"22";"8";"65";"20";"9";"15";"0";"1013";"0";"0";"pioggia temporale "
Roma;14/10/2021;"13";"9";"19";"3";"44";"20";"16";"28";"0";"1017";"0";"0";""
Roma;15/10/2021;"13";"8";"19";"2";"46";"21";"18";"30";"0";"1014";"0";"0";""
Roma;16/10/2021;"14";"7";"20";"6";"59";"19";"8";"13";"0";"1015";"0";"0";""
Roma;17/10/2021;"14";"10";"21";"9";"71";"20";"7";"11";"0";"1018";"0";"0";""
Roma;18/10/2021;"14";"9";"22";"8";"69";"19";"8";"15";"0";"1022";"0";"0";""
Roma;19/10/2021;"15";"8";"22";"8";"64";"20";"7";"11";"0";"1027";"0";"0";""
Roma;20/10/2021;"15";"9";"21";"9";"69";"20";"8";"15";"0";"1027";"0";"0";""
Roma;21/10/2021;"18";"13";"21";"14";"76";"19";"16";"30";"0";"1019";"0";"0";""
Roma;22/10/2021;"20";"17";"23";"16";"81";"20";"13";"24";"0";"1016";"0";"0";"pioggia temporale "
Roma;23/10/2021;"18";"16";"22";"15";"85";"17";"7";"15";"0";"1019";"0";"0";"pioggia temporale "
Roma;24/10/2021;"18";"14";"24";"12";"69";"20";"12";"18";"0";"1020";"0";"0";""
Roma;25/10/2021;"16";"11";"21";"8";"61";"21";"10";"18";"0";"1018";"0";"0";""
Roma;26/10/2021;"16";"15";"18";"12";"79";"15";"7";"9";"0";"1019";"0";"0";"pioggia "
Roma;27/10/2021;"16";"11";"21";"12";"79";"15";"6";"11";"0";"1021";"0";"0";""
Roma;28/10/2021;"14";"10";"21";"10";"75";"20";"7";"13";"0";"1019";"0";"0";""
Roma;29/10/2021;"14";"9";"19";"9";"72";"20";"6";"9";"0";"1016";"0";"0";""
Roma;30/10/2021;"15";"11";"21";"10";"73";"21";"5";"13";"0";"1017";"0";"0";""
Roma;31/10/2021;"16";"11";"21";"11";"73";"20";"7";"18";"0";"1015";"0";"0";"pioggia "
