LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Roma;1/9/2021;"24";"17";"31";"14";"58";"18";"9";"21";"0";"1018";"0";"0";""
Roma;2/9/2021;"24";"18";"30";"15";"59";"20";"8";"18";"0";"1020";"0";"0";""
Roma;3/9/2021;"24";"21";"30";"17";"65";"21";"7";"17";"0";"1018";"0";"0";""
Roma;4/9/2021;"24";"19";"29";"16";"63";"21";"8";"21";"0";"1014";"0";"0";""
Roma;5/9/2021;"24";"19";"29";"16";"63";"18";"9";"21";"0";"1015";"0";"0";""
Roma;6/9/2021;"24";"18";"29";"14";"56";"19";"9";"18";"0";"1018";"0";"0";""
Roma;7/9/2021;"24";"18";"29";"13";"53";"20";"8";"15";"0";"1019";"0";"0";""
Roma;8/9/2021;"23";"19";"29";"14";"58";"20";"8";"21";"0";"1018";"0";"0";"pioggia temporale "
Roma;9/9/2021;"23";"17";"29";"13";"58";"19";"8";"17";"0";"1017";"0";"0";""
Roma;10/9/2021;"23";"17";"29";"14";"56";"20";"8";"17";"0";"1016";"0";"0";""
Roma;11/9/2021;"25";"19";"31";"14";"54";"20";"8";"18";"0";"1015";"0";"0";"pioggia "
Roma;12/9/2021;"22";"17";"30";"14";"60";"19";"8";"15";"0";"1015";"0";"0";""
Roma;13/9/2021;"23";"18";"31";"15";"61";"20";"8";"18";"0";"1016";"0";"0";""
Roma;14/9/2021;"24";"18";"31";"14";"58";"18";"8";"18";"0";"1018";"0";"0";""
Roma;15/9/2021;"24";"19";"30";"15";"60";"20";"7";"15";"0";"1020";"0";"0";"pioggia "
Roma;16/9/2021;"25";"20";"31";"15";"57";"21";"12";"24";"0";"1018";"0";"0";""
Roma;17/9/2021;"25";"21";"28";"19";"72";"18";"15";"24";"0";"1014";"0";"0";"pioggia temporale "
Roma;18/9/2021;"24";"20";"29";"18";"71";"20";"9";"18";"0";"1013";"0";"0";""
Roma;19/9/2021;"23";"19";"28";"18";"72";"20";"10";"21";"0";"1014";"0";"0";""
Roma;20/9/2021;"22";"19";"26";"16";"67";"20";"12";"18";"0";"1014";"0";"0";""
Roma;21/9/2021;"22";"18";"27";"16";"68";"19";"8";"13";"0";"1020";"0";"0";""
Roma;22/9/2021;"22";"16";"28";"14";"64";"21";"10";"18";"0";"1020";"0";"0";""
Roma;23/9/2021;"21";"17";"26";"12";"60";"21";"10";"18";"0";"1020";"0";"0";""
Roma;24/9/2021;"21";"16";"27";"15";"70";"20";"7";"17";"0";"1020";"0";"0";""
Roma;25/9/2021;"23";"17";"29";"16";"68";"22";"7";"13";"0";"1020";"0";"0";""
Roma;26/9/2021;"23";"19";"29";"18";"71";"19";"9";"21";"0";"1021";"0";"0";""
Roma;27/9/2021;"24";"21";"28";"20";"78";"21";"10";"17";"0";"1017";"0";"0";""
Roma;28/9/2021;"23";"20";"28";"18";"75";"16";"7";"15";"0";"1017";"0";"0";"nebbia "
Roma;29/9/2021;"23";"19";"28";"17";"70";"17";"7";"17";"0";"1017";"0";"0";""
Roma;30/9/2021;"22";"16";"30";"15";"70";"19";"9";"17";"0";"1019";"0";"0";""
