LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/2/2021;"3";"0";"6";"2";"93";"18";"2";"4";"0";"1001";"0";"0";""
Trento;2/2/2021;"2";"-3";"7";"1";"88";"21";"4";"5";"0";"1012";"0";"0";""
Trento;3/2/2021;"3";"2";"4";"1";"90";"21";"2";"4";"0";"1014";"0";"0";""
Trento;4/2/2021;"6";"2";"11";"3";"82";"18";"4";"8";"0";"1018";"0";"0";""
Trento;5/2/2021;"6";"3";"10";"3";"85";"21";"2";"5";"0";"1018";"0";"0";"pioggia "
Trento;6/2/2021;"5";"3";"8";"3";"90";"16";"2";"4";"0";"1013";"0";"0";""
Trento;7/2/2021;"4";"3";"5";"4";"100";"3";"3";"5";"0";"999";"0";"0";"pioggia nebbia "
Trento;8/2/2021;"7";"3";"11";"3";"76";"19";"3";"5";"0";"994";"0";"0";""
Trento;9/2/2021;"6";"3";"9";"1";"71";"19";"3";"8";"0";"1000";"0";"0";""
Trento;10/2/2021;"4";"0";"6";"3";"94";"16";"3";"5";"0";"1000";"0";"0";"pioggia "
Trento;11/2/2021;"5";"-2";"9";"2";"43";"22";"13";"24";"0";"1015";"0";"0";""
Trento;12/2/2021;"0";"-3";"3";"0";"50";"21";"3";"8";"0";"1024";"0";"0";""
Trento;13/2/2021;"2";"0";"5";"0";"27";"19";"11";"18";"0";"1028";"0";"0";""
Trento;14/2/2021;"-2";"-7";"4";"0";"45";"22";"4";"8";"0";"1038";"0";"0";""
Trento;15/2/2021;"0";"-7";"5";"0";"45";"20";"3";"5";"0";"1036";"0";"0";""
Trento;16/2/2021;"3";"-6";"9";"0";"54";"21";"3";"5";"0";"1025";"0";"0";""
Trento;17/2/2021;"5";"-2";"13";"0";"62";"20";"4";"8";"0";"1021";"0";"0";""
Trento;18/2/2021;"5";"-3";"11";"0";"63";"22";"4";"8";"0";"1022";"0";"0";""
Trento;19/2/2021;"7";"2";"14";"2";"65";"15";"4";"8";"0";"1023";"0";"0";""
Trento;20/2/2021;"8";"3";"15";"2";"64";"21";"4";"8";"0";"1025";"0";"0";""
Trento;21/2/2021;"8";"3";"14";"2";"65";"21";"5";"9";"0";"1027";"0";"0";""
Trento;22/2/2021;"9";"4";"16";"2";"64";"20";"2";"5";"0";"1031";"0";"0";""
Trento;23/2/2021;"9";"2";"17";"1";"57";"20";"3";"5";"0";"1037";"0";"0";""
Trento;24/2/2021;"10";"1";"18";"1";"52";"19";"3";"5";"0";"1037";"0";"0";""
Trento;25/2/2021;"10";"2";"18";"1";"50";"21";"3";"5";"0";"1033";"0";"0";""
Trento;26/2/2021;"10";"1";"18";"1";"49";"20";"3";"5";"0";"1028";"0";"0";""
Trento;27/2/2021;"13";"2";"20";"1";"41";"21";"7";"24";"0";"1026";"0";"0";""
Trento;28/2/2021;"9";"0";"16";"0";"45";"21";"3";"8";"0";"1031";"0";"0";""
