LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/7/2021;"23";"14";"29";"9";"43";"21";"5";"9";"0";"1013";"0";"0";""
Trento;2/7/2021;"26";"14";"30";"10";"41";"19";"5";"9";"0";"1014";"0";"0";""
Trento;3/7/2021;"25";"17";"31";"12";"48";"20";"8";"13";"0";"1014";"0";"0";"pioggia "
Trento;4/7/2021;"22";"18";"28";"17";"75";"21";"7";"13";"0";"1011";"0";"0";"pioggia "
Trento;5/7/2021;"24";"13";"30";"12";"50";"21";"7";"17";"0";"1012";"0";"0";""
Trento;6/7/2021;"27";"16";"33";"14";"47";"23";"9";"17";"0";"1012";"0";"0";""
Trento;7/7/2021;"28";"19";"34";"15";"48";"20";"7";"18";"0";"1014";"0";"0";"pioggia temporale "
Trento;8/7/2021;"23";"19";"29";"17";"69";"20";"6";"11";"0";"1016";"0";"0";"pioggia temporale "
Trento;9/7/2021;"25";"16";"31";"12";"49";"18";"4";"8";"0";"1017";"0";"0";""
Trento;10/7/2021;"27";"15";"32";"11";"39";"19";"8";"13";"0";"1015";"0";"0";""
Trento;11/7/2021;"24";"17";"31";"11";"48";"21";"8";"33";"0";"1014";"0";"0";"pioggia "
Trento;12/7/2021;"27";"16";"33";"13";"44";"18";"8";"17";"0";"1012";"0";"0";""
Trento;13/7/2021;"20";"16";"27";"17";"87";"15";"6";"15";"0";"1010";"0";"0";"pioggia temporale "
Trento;14/7/2021;"18";"14";"23";"15";"83";"22";"5";"9";"0";"1012";"0";"0";"pioggia temporale "
Trento;15/7/2021;"19";"14";"25";"13";"72";"20";"6";"21";"0";"1015";"0";"0";"pioggia "
Trento;16/7/2021;"21";"14";"25";"15";"72";"20";"4";"8";"0";"1015";"0";"0";"pioggia "
Trento;17/7/2021;"23";"15";"29";"14";"60";"20";"6";"22";"0";"1013";"0";"0";""
Trento;18/7/2021;"27";"19";"32";"13";"45";"23";"8";"18";"0";"1012";"0";"0";""
Trento;19/7/2021;"28";"17";"35";"9";"35";"18";"6";"13";"0";"1012";"0";"0";""
Trento;20/7/2021;"27";"16";"33";"12";"41";"22";"7";"11";"0";"1014";"0";"0";""
Trento;21/7/2021;"28";"18";"34";"14";"45";"20";"7";"17";"0";"1017";"0";"0";""
Trento;22/7/2021;"24";"19";"29";"19";"73";"21";"9";"18";"0";"1018";"0";"0";"pioggia temporale "
Trento;23/7/2021;"25";"15";"31";"16";"59";"21";"7";"13";"0";"1015";"0";"0";""
Trento;24/7/2021;"27";"22";"32";"18";"60";"20";"5";"9";"0";"1012";"0";"0";"pioggia temporale "
Trento;25/7/2021;"24";"19";"30";"16";"65";"21";"6";"17";"0";"1012";"0";"0";"pioggia temporale "
Trento;26/7/2021;"21";"16";"24";"16";"78";"16";"4";"8";"0";"1016";"0";"0";"pioggia temporale "
Trento;27/7/2021;"22";"17";"27";"18";"78";"19";"5";"9";"0";"1017";"0";"0";"pioggia temporale "
Trento;28/7/2021;"24";"18";"28";"18";"69";"20";"5";"11";"0";"1014";"0";"0";""
Trento;29/7/2021;"27";"17";"32";"15";"51";"23";"7";"13";"0";"1013";"0";"0";""
Trento;30/7/2021;"27";"18";"32";"17";"55";"22";"9";"17";"0";"1011";"0";"0";"pioggia temporale "
Trento;31/7/2021;"24";"18";"31";"17";"67";"21";"7";"15";"0";"1009";"0";"0";"pioggia temporale "
