LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/3/2021;"9";"-2";"17";"0";"47";"19";"3";"5";"0";"1031";"0";"0";""
Trento;2/3/2021;"9";"-1";"17";"0";"46";"19";"4";"8";"0";"1033";"0";"0";""
Trento;3/3/2021;"9";"0";"14";"0";"51";"21";"3";"8";"0";"1030";"0";"0";""
Trento;4/3/2021;"9";"0";"14";"1";"55";"23";"3";"8";"0";"1020";"0";"0";""
Trento;5/3/2021;"11";"0";"15";"1";"45";"21";"7";"17";"0";"1016";"0";"0";""
Trento;6/3/2021;"9";"3";"15";"0";"41";"23";"8";"17";"0";"1026";"0";"0";""
Trento;7/3/2021;"8";"0";"14";"0";"51";"20";"8";"13";"0";"1021";"0";"0";""
Trento;8/3/2021;"9";"-2";"15";"0";"52";"22";"6";"15";"0";"1015";"0";"0";""
Trento;9/3/2021;"9";"0";"15";"1";"50";"21";"5";"11";"0";"1013";"0";"0";""
Trento;10/3/2021;"9";"-2";"15";"0";"42";"24";"5";"11";"0";"1017";"0";"0";""
Trento;11/3/2021;"9";"2";"12";"1";"48";"18";"4";"8";"0";"1017";"0";"0";""
Trento;12/3/2021;"10";"6";"17";"2";"58";"18";"5";"9";"0";"1012";"0";"0";""
Trento;13/3/2021;"11";"1";"18";"1";"46";"21";"9";"21";"0";"1010";"0";"0";""
Trento;14/3/2021;"9";"7";"13";"2";"40";"19";"12";"21";"0";"1008";"0";"0";"pioggia "
Trento;15/3/2021;"10";"-1";"14";"0";"37";"19";"9";"18";"0";"1009";"0";"0";""
Trento;16/3/2021;"9";"2";"13";"0";"25";"19";"13";"26";"0";"1016";"0";"0";""
Trento;17/3/2021;"9";"-1";"13";"14";"35";"19";"9";"18";"0";"1016";"0";"0";""
Trento;18/3/2021;"8";"2";"11";"0";"25";"20";"8";"17";"0";"1016";"0";"0";""
Trento;19/3/2021;"7";"-2";"11";"0";"35";"22";"6";"13";"0";"1015";"0";"0";""
Trento;20/3/2021;"6";"-2";"10";"0";"27";"19";"13";"21";"0";"1019";"0";"0";""
Trento;21/3/2021;"8";"-2";"13";"0";"30";"18";"11";"28";"0";"1013";"0";"0";""
Trento;22/3/2021;"11";"9";"14";"0";"19";"23";"21";"30";"0";"1013";"0";"0";""
Trento;23/3/2021;"10";"1";"17";"0";"35";"20";"5";"11";"0";"1021";"0";"0";""
Trento;24/3/2021;"12";"-1";"21";"0";"40";"20";"6";"15";"0";"1021";"0";"0";""
Trento;25/3/2021;"14";"2";"22";"0";"34";"19";"6";"17";"0";"1020";"0";"0";""
Trento;26/3/2021;"14";"3";"21";"2";"42";"22";"8";"18";"0";"1022";"0";"0";""
Trento;27/3/2021;"14";"8";"19";"4";"52";"19";"7";"11";"0";"1023";"0";"0";""
Trento;28/3/2021;"15";"7";"20";"2";"45";"19";"5";"9";"0";"1029";"0";"0";""
Trento;29/3/2021;"16";"7";"23";"2";"40";"19";"3";"5";"0";"1032";"0";"0";""
Trento;30/3/2021;"18";"5";"26";"2";"36";"16";"5";"9";"0";"1029";"0";"0";""
Trento;31/3/2021;"18";"7";"26";"2";"37";"20";"5";"11";"0";"1024";"0";"0";""
