LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trento;1/10/2021;"20";"15";"24";"10";"56";"21";"5";"13";"0";"1022";"0";"0";""
Trento;2/10/2021;"18";"11";"24";"11";"64";"18";"7";"13";"0";"1018";"0";"0";""
Trento;3/10/2021;"17";"13";"19";"13";"80";"22";"3";"5";"0";"1018";"0";"0";""
Trento;4/10/2021;"20";"14";"24";"14";"72";"20";"5";"13";"0";"1017";"0";"0";"pioggia "
Trento;5/10/2021;"17";"15";"20";"15";"89";"15";"6";"17";"0";"1012";"0";"0";"pioggia "
Trento;6/10/2021;"15";"12";"17";"9";"62";"15";"12";"26";"0";"1016";"0";"0";"pioggia "
Trento;7/10/2021;"18";"12";"20";"3";"34";"18";"13";"22";"0";"1019";"0";"0";""
Trento;8/10/2021;"17";"11";"22";"7";"57";"21";"4";"9";"0";"1020";"0";"0";""
Trento;9/10/2021;"14";"6";"20";"6";"59";"21";"6";"13";"0";"1022";"0";"0";""
Trento;10/10/2021;"14";"4";"19";"4";"53";"19";"6";"17";"0";"1020";"0";"0";""
Trento;11/10/2021;"14";"5";"21";"4";"52";"20";"3";"8";"0";"1019";"0";"0";""
Trento;12/10/2021;"10";"4";"15";"5";"73";"20";"3";"5";"0";"1016";"0";"0";""
Trento;13/10/2021;"13";"5";"19";"5";"40";"22";"11";"18";"0";"1019";"0";"0";""
Trento;14/10/2021;"10";"1";"18";"3";"56";"23";"4";"8";"0";"1024";"0";"0";""
Trento;15/10/2021;"10";"1";"17";"3";"68";"20";"3";"8";"0";"1019";"0";"0";""
Trento;16/10/2021;"11";"2";"19";"5";"69";"20";"4";"8";"0";"1019";"0";"0";""
Trento;17/10/2021;"11";"2";"18";"5";"73";"21";"4";"8";"0";"1021";"0";"0";""
Trento;18/10/2021;"11";"4";"18";"6";"73";"20";"4";"8";"0";"1025";"0";"0";""
Trento;19/10/2021;"11";"5";"15";"7";"80";"19";"2";"4";"0";"1028";"0";"0";""
Trento;20/10/2021;"14";"4";"18";"8";"72";"19";"4";"8";"0";"1022";"0";"0";""
Trento;21/10/2021;"15";"12";"17";"11";"79";"19";"5";"11";"0";"1012";"0";"0";""
Trento;22/10/2021;"14";"11";"20";"8";"68";"21";"4";"8";"0";"1016";"0";"0";""
Trento;23/10/2021;"10";"4";"18";"4";"69";"20";"3";"5";"0";"1024";"0";"0";""
Trento;24/10/2021;"8";"2";"17";"4";"78";"19";"3";"5";"0";"1028";"0";"0";""
Trento;25/10/2021;"8";"3";"13";"4";"75";"18";"3";"8";"0";"1024";"0";"0";""
Trento;26/10/2021;"9";"3";"17";"4";"74";"21";"3";"8";"0";"1023";"0";"0";""
Trento;27/10/2021;"10";"2";"17";"4";"70";"18";"3";"5";"0";"1026";"0";"0";""
Trento;28/10/2021;"9";"1";"17";"3";"71";"19";"2";"5";"0";"1023";"0";"0";""
Trento;29/10/2021;"9";"0";"16";"3";"71";"22";"3";"5";"0";"1019";"0";"0";""
Trento;30/10/2021;"9";"-1";"14";"5";"72";"20";"3";"5";"0";"1019";"0";"0";""
Trento;31/10/2021;"10";"6";"14";"5";"74";"21";"4";"8";"0";"1016";"0";"0";""
