LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trieste;1/8/2021;"29";"26";"31";"23";"70";"18";"6";"13";"0";"1004";"0";"0";""
Trieste;2/8/2021;"26";"23";"29";"17";"58";"19";"5";"11";"0";"1011";"0";"0";""
Trieste;3/8/2021;"26";"21";"28";"19";"66";"23";"4";"9";"0";"1013";"0";"0";"pioggia temporale "
Trieste;4/8/2021;"27";"24";"30";"20";"65";"20";"3";"9";"0";"1012";"0";"0";""
Trieste;5/8/2021;"24";"21";"27";"19";"75";"22";"5";"8";"0";"1005";"0";"0";"pioggia "
Trieste;6/8/2021;"26";"21";"28";"20";"72";"21";"2";"5";"0";"1007";"0";"0";""
Trieste;7/8/2021;"27";"24";"30";"20";"64";"20";"3";"9";"0";"1009";"0";"0";""
Trieste;8/8/2021;"29";"26";"31";"23";"69";"23";"2";"5";"0";"1010";"0";"0";""
Trieste;9/8/2021;"29";"25";"31";"22";"68";"21";"5";"8";"0";"1016";"0";"0";""
Trieste;10/8/2021;"29";"23";"31";"22";"68";"18";"1";"8";"0";"1016";"0";"0";""
Trieste;11/8/2021;;;;;;;;;;;;;
Trieste;12/8/2021;"31";"26";"33";"21";"59";"23";"4";"15";"0";"1018";"0";"0";""
Trieste;13/8/2021;"30";"25";"32";"24";"70";"20";"0";"2";"0";"1019";"0";"0";""
Trieste;14/8/2021;"30";"26";"32";"25";"75";"18";"1";"4";"0";"1018";"0";"0";""
Trieste;15/8/2021;"30";"28";"31";"24";"70";"22";"1";"2";"0";"1013";"0";"0";""
Trieste;16/8/2021;"31";"27";"33";"23";"67";"20";"1";"4";"0";"1008";"0";"0";""
Trieste;17/8/2021;"25";"23";"28";"15";"53";"23";"19";"24";"0";"1011";"0";"0";""
Trieste;18/8/2021;"26";"20";"29";"12";"41";"21";"11";"22";"0";"1013";"0";"0";""
Trieste;19/8/2021;"26";"21";"29";"19";"63";"20";"6";"9";"0";"1013";"0";"0";""
Trieste;20/8/2021;"27";"23";"29";"19";"61";"23";"3";"11";"0";"1014";"0";"0";""
Trieste;21/8/2021;"28";"24";"30";"20";"61";"22";"1";"5";"0";"1016";"0";"0";""
Trieste;22/8/2021;"28";"25";"30";"23";"73";"21";"0";"2";"0";"1015";"0";"0";""
Trieste;23/8/2021;"20";"17";"24";"16";"76";"21";"20";"28";"0";"1014";"0";"0";"pioggia temporale "
Trieste;24/8/2021;"26";"20";"28";"12";"43";"21";"11";"15";"0";"1014";"0";"0";""
Trieste;25/8/2021;"23";"20";"26";"8";"39";"21";"15";"28";"0";"1015";"0";"0";""
Trieste;26/8/2021;"22";"17";"24";"13";"56";"23";"0";"0";"0";"1009";"0";"0";""
Trieste;27/8/2021;"21";"18";"24";"11";"52";"21";"3";"5";"0";"1010";"0";"0";""
Trieste;28/8/2021;"21";"18";"24";"9";"48";"16";"15";"21";"0";"1011";"0";"0";""
Trieste;29/8/2021;"20";"17";"22";"10";"55";"22";"8";"15";"0";"1012";"0";"0";""
Trieste;30/8/2021;"22";"17";"24";"15";"65";"18";"1";"4";"0";"1013";"0";"0";""
Trieste;31/8/2021;"22";"16";"24";"17";"72";"21";"1";"5";"0";"1016";"0";"0";""
