LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trieste;1/4/2021;"16";"11";"20";"11";"69";"20";"0";"2";"0";"1017";"0";"0";""
Trieste;2/4/2021;"17";"12";"19";"12";"75";"18";"1";"4";"0";"1012";"0";"0";""
Trieste;3/4/2021;"15";"12";"17";"3";"39";"24";"19";"30";"0";"1012";"0";"0";""
Trieste;4/4/2021;"12";"8";"15";"0";"33";"22";"8";"18";"0";"1018";"0";"0";""
Trieste;5/4/2021;"12";"7";"15";"4";"58";"20";"2";"5";"0";"1013";"0";"0";""
Trieste;6/4/2021;"4";"2";"10";"4";"77";"14";"22";"31";"0";"1005";"0";"0";"pioggia neve temporale "
Trieste;7/4/2021;"7";"2";"10";"0";"53";"20";"3";"17";"0";"1014";"0";"0";""
Trieste;8/4/2021;"10";"6";"12";"3";"45";"18";"3";"8";"0";"1024";"0";"0";""
Trieste;9/4/2021;"12";"8";"14";"7";"64";"22";"3";"8";"0";"1026";"0";"0";""
Trieste;10/4/2021;"13";"11";"15";"8";"71";"22";"4";"9";"0";"1022";"0";"0";""
Trieste;11/4/2021;"11";"10";"12";"11";"95";"24";"3";"8";"0";"1019";"0";"0";"pioggia "
Trieste;12/4/2021;"13";"12";"13";"12";"96";"10";"5";"11";"0";"1016";"0";"0";"pioggia "
Trieste;13/4/2021;"7";"6";"9";"1";"62";"19";"13";"37";"0";"1018";"0";"0";""
Trieste;14/4/2021;"10";"5";"11";"4";"57";"22";"2";"5";"0";"1022";"0";"0";""
Trieste;15/4/2021;"11";"6";"13";"2";"46";"21";"6";"11";"0";"1021";"0";"0";""
Trieste;16/4/2021;"12";"9";"14";"4";"46";"20";"8";"13";"0";"1019";"0";"0";""
Trieste;17/4/2021;"12";"8";"15";"0";"39";"18";"8";"11";"0";"1015";"0";"0";""
Trieste;18/4/2021;"11";"10";"13";"1";"50";"18";"8";"15";"0";"1015";"0";"0";""
Trieste;19/4/2021;"12";"9";"14";"7";"74";"24";"3";"8";"0";"1014";"0";"0";""
Trieste;20/4/2021;"13";"9";"15";"7";"68";"20";"1";"4";"0";"1014";"0";"0";""
Trieste;21/4/2021;"14";"10";"16";"9";"73";"18";"2";"5";"0";"1017";"0";"0";""
Trieste;22/4/2021;"15";"12";"17";"12";"81";"22";"2";"8";"0";"1019";"0";"0";""
Trieste;23/4/2021;"16";"14";"18";"9";"62";"21";"5";"17";"0";"1021";"0";"0";""
Trieste;24/4/2021;"16";"12";"18";"7";"56";"21";"1";"4";"0";"1021";"0";"0";""
Trieste;25/4/2021;"17";"12";"19";"10";"66";"22";"0";"0";"0";"1016";"0";"0";""
Trieste;26/4/2021;"15";"13";"17";"5";"45";"21";"13";"26";"0";"1014";"0";"0";""
Trieste;27/4/2021;"13";"11";"14";"7";"71";"20";"17";"21";"0";"1008";"0";"0";""
Trieste;28/4/2021;"15";"12";"16";"11";"78";"22";"3";"17";"0";"1008";"0";"0";""
Trieste;29/4/2021;"16";"13";"17";"14";"92";"18";"2";"8";"0";"1010";"0";"0";"pioggia "
Trieste;30/4/2021;"18";"16";"20";"14";"80";"18";"1";"4";"0";"1011";"0";"0";""
