LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trieste;1/12/2021;;;;;;;;;;;;;
Trieste;2/12/2021;"10";"10";"11";"10";"100";"7";"1";"4";"0";"999";"0";"0";"pioggia "
Trieste;3/12/2021;"9";"8";"10";"1";"47";"17";"13";"18";"0";"1010";"0";"0";""
Trieste;4/12/2021;"8";"3";"10";"2";"51";"21";"2";"8";"0";"1009";"0";"0";""
Trieste;5/12/2021;"7";"7";"8";"6";"90";"18";"5";"15";"0";"1002";"0";"0";"pioggia "
Trieste;6/12/2021;"9";"7";"11";"0";"47";"21";"13";"21";"0";"1007";"0";"0";""
Trieste;7/12/2021;"6";"4";"10";"0";"51";"17";"9";"13";"0";"1012";"0";"0";""
Trieste;8/12/2021;"6";"4";"9";"3";"75";"18";"5";"11";"0";"1006";"0";"0";"pioggia "
Trieste;9/12/2021;"5";"4";"6";"2";"81";"22";"16";"21";"0";"999";"0";"0";"pioggia "
Trieste;10/12/2021;"8";"5";"10";"2";"62";"17";"7";"15";"0";"1001";"0";"0";""
Trieste;11/12/2021;"6";"5";"7";"0";"60";"22";"17";"22";"0";"1008";"0";"0";""
Trieste;12/12/2021;"7";"4";"12";"2";"61";"16";"2";"5";"0";"1021";"0";"0";""
Trieste;13/12/2021;"10";"8";"11";"3";"61";"19";"0";"2";"0";"1024";"0";"0";""
Trieste;14/12/2021;;;;;;;;;;;;;
Trieste;15/12/2021;"10";"9";"11";"4";"65";"18";"11";"17";"0";"1028";"0";"0";""
Trieste;16/12/2021;;;;;;;;;;;;;
Trieste;17/12/2021;;;;;;;;;;;;;
Trieste;18/12/2021;;;;;;;;;;;;;
Trieste;19/12/2021;;;;;;;;;;;;;
Trieste;20/12/2021;"10";"8";"12";"0";"36";"18";"23";"28";"0";"1016";"0";"0";""
Trieste;21/12/2021;;;;;;;;;;;;;
Trieste;22/12/2021;"6";"4";"7";"0";"62";"16";"22";"26";"0";"1025";"0";"0";""
Trieste;23/12/2021;;;;;;;;;;;;;
Trieste;24/12/2021;;;;;;;;;;;;;
Trieste;25/12/2021;;;;;;;;;;;;;
Trieste;26/12/2021;;;;;;;;;;;;;
Trieste;27/12/2021;"10";"7";"11";"5";"73";"20";"6";"18";"0";"1008";"0";"0";""
Trieste;28/12/2021;"11";"9";"11";"10";"97";"22";"0";"0";"0";"1008";"0";"0";""
Trieste;29/12/2021;"10";"8";"11";"9";"94";"16";"0";"0";"0";"1009";"0";"0";""
Trieste;30/12/2021;"9";"7";"11";"8";"95";"17";"1";"2";"0";"1019";"0";"0";""
Trieste;31/12/2021;"7";"7";"7";"7";"100";"1";"1";"4";"0";"1025";"0";"0";"nebbia "
