LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trieste;1/2/2021;"8";"4";"11";"5";"67";"19";"0";"0";"0";"999";"0";"0";""
Trieste;2/2/2021;"9";"7";"11";"7";"86";"19";"0";"0";"0";"1011";"0";"0";""
Trieste;3/2/2021;"8";"8";"9";"8";"96";"12";"0";"0";"0";"1014";"0";"0";"pioggia "
Trieste;4/2/2021;"9";"8";"10";"9";"95";"6";"0";"0";"0";"1017";"0";"0";""
Trieste;5/2/2021;"10";"9";"11";"9";"96";"3";"0";"0";"0";"1017";"0";"0";"pioggia "
Trieste;6/2/2021;"10";"9";"10";"9";"96";"3";"0";"0";"0";"1004";"0";"0";"pioggia "
Trieste;7/2/2021;"13";"13";"14";"11";"89";"15";"0";"0";"0";"999";"0";"0";"pioggia "
Trieste;8/2/2021;"10";"9";"11";"8";"87";"23";"0";"0";"0";"994";"0";"0";"pioggia "
Trieste;9/2/2021;"11";"10";"13";"10";"97";"14";"0";"0";"0";"999";"0";"0";"pioggia nebbia "
Trieste;10/2/2021;"13";"10";"15";"10";"87";"18";"0";"0";"0";"998";"0";"0";"pioggia "
Trieste;11/2/2021;"6";"3";"8";"2";"65";"23";"0";"0";"0";"1012";"0";"0";"pioggia "
Trieste;12/2/2021;"-1";"-1";"0";"0";"38";"18";"0";"0";"0";"1025";"0";"0";""
Trieste;13/2/2021;"-1";"-4";"1";"0";"33";"19";"0";"0";"0";"1028";"0";"0";""
Trieste;14/2/2021;"3";"-2";"7";"0";"45";"19";"0";"0";"0";"1036";"0";"0";""
Trieste;15/2/2021;"4";"0";"7";"0";"40";"20";"0";"0";"0";"1036";"0";"0";""
Trieste;16/2/2021;"6";"3";"9";"1";"60";"21";"0";"0";"0";"1026";"0";"0";""
Trieste;17/2/2021;"7";"5";"8";"5";"90";"22";"0";"0";"0";"1021";"0";"0";""
Trieste;18/2/2021;"8";"7";"9";"7";"90";"14";"0";"0";"0";"1023";"0";"0";""
Trieste;19/2/2021;"8";"7";"8";"7";"99";"3";"0";"0";"0";"1023";"0";"0";"pioggia "
Trieste;20/2/2021;;;;;;;;;;;;;
Trieste;21/2/2021;;;;;;;;;;;;;
Trieste;22/2/2021;"11";"9";"12";"9";"91";"21";"0";"0";"0";"1031";"0";"0";""
Trieste;23/2/2021;"9";"8";"10";"8";"94";"2";"0";"0";"0";"1035";"0";"0";""
Trieste;24/2/2021;"8";"5";"12";"6";"88";"12";"0";"0";"0";"1033";"0";"0";""
Trieste;25/2/2021;"12";"7";"15";"7";"75";"17";"0";"0";"0";"1030";"0";"0";""
Trieste;26/2/2021;"10";"6";"13";"6";"76";"19";"0";"0";"0";"1027";"0";"0";""
Trieste;27/2/2021;"14";"12";"16";"2";"40";"20";"16";"39";"0";"1025";"0";"0";""
Trieste;28/2/2021;"11";"7";"14";"0";"35";"22";"20";"35";"0";"1031";"0";"0";""
