LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trieste;1/1/2021;"9";"7";"11";"7";"88";"17";"0";"0";"0";"1010";"0";"0";"pioggia "
Trieste;2/1/2021;"9";"9";"11";"6";"79";"19";"0";"0";"0";"1007";"0";"0";"pioggia temporale "
Trieste;3/1/2021;"11";"8";"14";"6";"75";"21";"0";"0";"0";"1009";"0";"0";"pioggia "
Trieste;4/1/2021;"8";"7";"9";"5";"84";"21";"0";"0";"0";"1010";"0";"0";"pioggia "
Trieste;5/1/2021;"8";"6";"9";"5";"80";"20";"0";"0";"0";"1009";"0";"0";"pioggia "
Trieste;6/1/2021;"7";"6";"9";"6";"88";"21";"0";"0";"0";"1009";"0";"0";"pioggia temporale "
Trieste;7/1/2021;"8";"6";"10";"5";"82";"22";"0";"0";"0";"1013";"0";"0";"pioggia "
Trieste;8/1/2021;;;;;;;;;;;;;
Trieste;9/1/2021;"4";"3";"5";"0";"57";"18";"0";"0";"0";"1016";"0";"0";""
Trieste;10/1/2021;"4";"4";"5";"0";"54";"19";"0";"0";"0";"1016";"0";"0";""
Trieste;11/1/2021;"4";"2";"5";"0";"49";"18";"0";"0";"0";"1017";"0";"0";""
Trieste;12/1/2021;"5";"2";"8";"0";"54";"20";"0";"0";"0";"1014";"0";"0";""
Trieste;13/1/2021;"7";"1";"11";"1";"56";"20";"0";"0";"0";"1013";"0";"0";""
Trieste;14/1/2021;;;;;;;;;;;;;
Trieste;15/1/2021;"5";"4";"7";"0";"38";"20";"0";"0";"0";"1017";"0";"0";""
Trieste;16/1/2021;"5";"1";"8";"0";"49";"21";"0";"0";"0";"1021";"0";"0";""
Trieste;17/1/2021;"5";"3";"7";"0";"55";"20";"0";"0";"0";"1015";"0";"0";""
Trieste;18/1/2021;"5";"2";"8";"0";"62";"18";"0";"0";"0";"1023";"0";"0";""
Trieste;19/1/2021;"6";"4";"7";"2";"76";"22";"0";"0";"0";"1024";"0";"0";""
Trieste;20/1/2021;"7";"6";"8";"6";"94";"7";"0";"0";"0";"1021";"0";"0";"pioggia "
Trieste;21/1/2021;;;;;;;;;;;;;
Trieste;22/1/2021;;;;;;;;;;;;;
Trieste;23/1/2021;;;;;;;;;;;;;
Trieste;24/1/2021;;;;;;;;;;;;;
Trieste;25/1/2021;;;;;;;;;;;;;
Trieste;26/1/2021;"6";"3";"9";"1";"59";"25";"0";"0";"0";"1013";"0";"0";""
Trieste;27/1/2021;;;;;;;;;;;;;
Trieste;28/1/2021;"7";"2";"9";"2";"70";"21";"0";"0";"0";"1013";"0";"0";"pioggia "
Trieste;29/1/2021;"7";"5";"8";"6";"91";"16";"0";"0";"0";"1004";"0";"0";""
Trieste;30/1/2021;"8";"6";"9";"7";"93";"18";"0";"0";"0";"1002";"0";"0";""
Trieste;31/1/2021;"6";"5";"8";"2";"65";"18";"0";"0";"0";"996";"0";"0";"pioggia "
