LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trieste;1/6/2021;"21";"18";"22";"14";"64";"16";"1";"5";"0";"1017";"0";"0";""
Trieste;2/6/2021;"21";"18";"23";"15";"71";"22";"2";"5";"0";"1019";"0";"0";""
Trieste;3/6/2021;"22";"19";"24";"13";"58";"21";"0";"2";"0";"1022";"0";"0";""
Trieste;4/6/2021;"24";"21";"26";"19";"74";"21";"1";"2";"0";"1022";"0";"0";""
Trieste;5/6/2021;"24";"22";"25";"18";"72";"18";"0";"2";"0";"1018";"0";"0";""
Trieste;6/6/2021;"22";"18";"24";"18";"80";"19";"2";"4";"0";"1016";"0";"0";"pioggia temporale "
Trieste;7/6/2021;"24";"22";"26";"18";"68";"21";"8";"17";"0";"1016";"0";"0";"pioggia temporale "
Trieste;8/6/2021;"26";"24";"29";"20";"68";"20";"0";"2";"0";"1016";"0";"0";"pioggia "
Trieste;9/6/2021;"26";"24";"28";"18";"64";"21";"2";"5";"0";"1015";"0";"0";""
Trieste;10/6/2021;"27";"23";"29";"15";"50";"16";"7";"17";"0";"1016";"0";"0";"pioggia "
Trieste;11/6/2021;"25";"23";"27";"16";"59";"21";"3";"9";"0";"1016";"0";"0";"pioggia temporale "
Trieste;12/6/2021;"25";"22";"27";"18";"65";"21";"1";"2";"0";"1017";"0";"0";""
Trieste;13/6/2021;"27";"23";"30";"20";"67";"19";"3";"11";"0";"1016";"0";"0";""
Trieste;14/6/2021;"23";"20";"25";"15";"62";"20";"9";"21";"0";"1018";"0";"0";""
Trieste;15/6/2021;"24";"21";"26";"16";"64";"21";"1";"4";"0";"1019";"0";"0";""
Trieste;16/6/2021;"26";"22";"28";"19";"70";"22";"1";"2";"0";"1016";"0";"0";""
Trieste;17/6/2021;"27";"24";"29";"19";"62";"21";"0";"0";"0";"1016";"0";"0";""
Trieste;18/6/2021;"26";"24";"27";"20";"69";"17";"0";"2";"0";"1017";"0";"0";""
Trieste;19/6/2021;"28";"24";"29";"22";"72";"20";"1";"4";"0";"1014";"0";"0";""
Trieste;20/6/2021;"28";"25";"30";"23";"75";"23";"0";"4";"0";"1011";"0";"0";""
Trieste;21/6/2021;"29";"26";"32";"23";"70";"21";"1";"4";"0";"1008";"0";"0";""
Trieste;22/6/2021;"29";"27";"30";"22";"64";"19";"3";"8";"0";"1010";"0";"0";""
Trieste;23/6/2021;"29";"27";"31";"24";"73";"21";"2";"4";"0";"1014";"0";"0";""
Trieste;24/6/2021;"28";"24";"29";"23";"77";"20";"0";"2";"0";"1015";"0";"0";""
Trieste;25/6/2021;"27";"25";"28";"18";"58";"20";"4";"8";"0";"1014";"0";"0";""
Trieste;26/6/2021;"29";"24";"30";"17";"51";"21";"6";"13";"0";"1014";"0";"0";""
Trieste;27/6/2021;"29";"25";"31";"21";"60";"20";"4";"9";"0";"1014";"0";"0";""
Trieste;28/6/2021;"29";"25";"31";"20";"61";"17";"0";"4";"0";"1014";"0";"0";""
Trieste;29/6/2021;"30";"27";"32";"22";"64";"20";"1";"5";"0";"1011";"0";"0";""
Trieste;30/6/2021;"29";"26";"30";"20";"58";"20";"4";"8";"0";"1009";"0";"0";""
