LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trieste;1/7/2021;"25";"17";"29";"17";"61";"21";"9";"18";"0";"1010";"0";"0";"pioggia temporale "
Trieste;2/7/2021;"26";"21";"29";"14";"48";"18";"5";"15";"0";"1013";"0";"0";""
Trieste;3/7/2021;"27";"24";"29";"18";"56";"20";"4";"8";"0";"1013";"0";"0";""
Trieste;4/7/2021;"24";"19";"27";"18";"69";"21";"1";"9";"0";"1010";"0";"0";""
Trieste;5/7/2021;"26";"20";"27";"19";"68";"23";"3";"8";"0";"1010";"0";"0";""
Trieste;6/7/2021;"28";"24";"31";"20";"62";"19";"1";"4";"0";"1012";"0";"0";""
Trieste;7/7/2021;"28";"25";"31";"22";"67";"24";"1";"4";"0";"1013";"0";"0";""
Trieste;8/7/2021;"31";"26";"35";"21";"59";"19";"2";"9";"0";"1014";"0";"0";""
Trieste;9/7/2021;"26";"24";"27";"18";"61";"21";"3";"5";"0";"1015";"0";"0";""
Trieste;10/7/2021;"29";"25";"31";"14";"40";"19";"9";"17";"0";"1014";"0";"0";""
Trieste;11/7/2021;"29";"25";"31";"20";"59";"17";"3";"9";"0";"1011";"0";"0";""
Trieste;12/7/2021;"29";"25";"30";"23";"71";"24";"3";"9";"0";"1012";"0";"0";""
Trieste;13/7/2021;"29";"26";"31";"20";"59";"19";"4";"15";"0";"1007";"0";"0";"pioggia temporale "
Trieste;14/7/2021;"26";"22";"28";"16";"56";"22";"4";"8";"0";"1010";"0";"0";""
Trieste;15/7/2021;;;;;;;;;;;;;
Trieste;16/7/2021;"24";"20";"26";"15";"61";"20";"11";"21";"0";"1011";"0";"0";""
Trieste;17/7/2021;"25";"21";"28";"16";"60";"20";"6";"13";"0";"1010";"0";"0";""
Trieste;18/7/2021;"26";"24";"28";"19";"68";"22";"5";"11";"0";"1009";"0";"0";"pioggia "
Trieste;19/7/2021;"29";"23";"32";"17";"51";"21";"4";"9";"0";"1010";"0";"0";""
Trieste;20/7/2021;"27";"24";"30";"20";"63";"22";"2";"4";"0";"1013";"0";"0";""
Trieste;21/7/2021;"28";"23";"32";"20";"63";"19";"6";"17";"0";"1017";"0";"0";""
Trieste;22/7/2021;"27";"24";"29";"19";"60";"22";"5";"13";"0";"1017";"0";"0";""
Trieste;23/7/2021;"28";"25";"30";"21";"67";"18";"4";"13";"0";"1013";"0";"0";""
Trieste;24/7/2021;"28";"24";"29";"22";"72";"19";"1";"5";"0";"1012";"0";"0";""
Trieste;25/7/2021;"30";"26";"32";"21";"59";"25";"4";"11";"0";"1010";"0";"0";""
Trieste;26/7/2021;"30";"27";"32";"22";"62";"19";"4";"9";"0";"1012";"0";"0";"pioggia temporale "
Trieste;27/7/2021;"27";"23";"28";"23";"79";"19";"3";"5";"0";"1015";"0";"0";"pioggia temporale "
Trieste;28/7/2021;"27";"24";"29";"22";"73";"21";"1";"2";"0";"1013";"0";"0";""
Trieste;29/7/2021;"28";"25";"31";"23";"71";"22";"1";"5";"0";"1012";"0";"0";""
Trieste;30/7/2021;"28";"25";"30";"23";"75";"20";"1";"5";"0";"1010";"0";"0";""
Trieste;31/7/2021;"29";"27";"31";"23";"70";"19";"1";"4";"0";"1007";"0";"0";""
