LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trieste;1/5/2021;"19";"15";"21";"14";"76";"21";"2";"11";"0";"1008";"0";"0";""
Trieste;2/5/2021;"17";"15";"18";"11";"71";"21";"6";"8";"0";"1010";"0";"0";"pioggia "
Trieste;3/5/2021;"16";"9";"19";"4";"48";"21";"14";"26";"0";"1020";"0";"0";""
Trieste;4/5/2021;"16";"12";"18";"11";"72";"22";"1";"4";"0";"1015";"0";"0";""
Trieste;5/5/2021;"18";"15";"21";"12";"67";"20";"6";"8";"0";"1008";"0";"0";""
Trieste;6/5/2021;"15";"11";"19";"8";"64";"18";"12";"22";"0";"1012";"0";"0";""
Trieste;7/5/2021;"17";"14";"20";"13";"76";"23";"6";"26";"0";"1008";"0";"0";"pioggia temporale "
Trieste;8/5/2021;"17";"15";"19";"6";"47";"18";"6";"21";"0";"1019";"0";"0";""
Trieste;9/5/2021;"17";"14";"20";"11";"67";"22";"1";"2";"0";"1019";"0";"0";""
Trieste;10/5/2021;"18";"11";"20";"12";"68";"23";"2";"5";"0";"1017";"0";"0";""
Trieste;11/5/2021;"20";"20";"21";"17";"80";"20";"1";"5";"0";"1011";"0";"0";""
Trieste;12/5/2021;"16";"14";"19";"14";"90";"9";"3";"5";"0";"1007";"0";"0";"pioggia "
Trieste;13/5/2021;"15";"13";"17";"12";"84";"16";"2";"4";"0";"1004";"0";"0";"pioggia "
Trieste;14/5/2021;"16";"13";"18";"12";"79";"20";"1";"5";"0";"1008";"0";"0";""
Trieste;15/5/2021;"17";"14";"19";"12";"71";"18";"2";"4";"0";"1009";"0";"0";""
Trieste;16/5/2021;"18";"16";"20";"15";"82";"23";"2";"5";"0";"1008";"0";"0";"pioggia "
Trieste;17/5/2021;"15";"13";"18";"9";"68";"20";"11";"24";"0";"1005";"0";"0";""
Trieste;18/5/2021;"17";"15";"18";"10";"63";"21";"0";"2";"0";"1013";"0";"0";""
Trieste;19/5/2021;"14";"10";"17";"9";"76";"18";"4";"8";"0";"1012";"0";"0";"pioggia "
Trieste;20/5/2021;"17";"14";"19";"11";"69";"23";"2";"5";"0";"1017";"0";"0";""
Trieste;21/5/2021;"19";"15";"22";"10";"55";"21";"2";"9";"0";"1017";"0";"0";""
Trieste;22/5/2021;"17";"16";"18";"10";"63";"18";"2";"5";"0";"1013";"0";"0";""
Trieste;23/5/2021;"20";"16";"22";"15";"73";"19";"4";"18";"0";"1014";"0";"0";""
Trieste;24/5/2021;"15";"13";"16";"13";"88";"13";"13";"21";"0";"1016";"0";"0";"pioggia "
Trieste;25/5/2021;"18";"15";"21";"14";"79";"20";"1";"9";"0";"1016";"0";"0";"pioggia "
Trieste;26/5/2021;"19";"15";"21";"11";"58";"17";"2";"5";"0";"1017";"0";"0";""
Trieste;27/5/2021;"19";"15";"21";"13";"66";"18";"2";"9";"0";"1014";"0";"0";""
Trieste;28/5/2021;"20";"17";"21";"12";"60";"21";"1";"5";"0";"1018";"0";"0";""
Trieste;29/5/2021;"19";"15";"21";"12";"65";"23";"4";"18";"0";"1017";"0";"0";"pioggia "
Trieste;30/5/2021;"21";"19";"23";"5";"34";"23";"4";"8";"0";"1018";"0";"0";""
Trieste;31/5/2021;"19";"10";"21";"11";"64";"21";"2";"13";"0";"1018";"0";"0";""
