LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trieste;1/3/2021;"15";"9";"19";"0";"28";"19";"8";"17";"0";"1029";"0";"0";""
Trieste;2/3/2021;"13";"10";"16";"3";"44";"19";"8";"24";"0";"1032";"0";"0";""
Trieste;3/3/2021;"10";"5";"12";"5";"71";"19";"0";"2";"0";"1030";"0";"0";""
Trieste;4/3/2021;"11";"7";"13";"6";"73";"20";"0";"0";"0";"1023";"0";"0";""
Trieste;5/3/2021;"12";"11";"13";"9";"81";"11";"1";"2";"0";"1016";"0";"0";""
Trieste;6/3/2021;"7";"4";"8";"0";"34";"21";"26";"35";"0";"1028";"0";"0";""
Trieste;7/3/2021;"8";"2";"10";"0";"38";"19";"0";"5";"0";"1024";"0";"0";""
Trieste;8/3/2021;"9";"3";"12";"4";"70";"19";"1";"4";"0";"1017";"0";"0";""
Trieste;9/3/2021;"11";"7";"14";"0";"37";"18";"14";"26";"0";"1013";"0";"0";""
Trieste;10/3/2021;"11";"6";"12";"4";"51";"20";"8";"18";"0";"1016";"0";"0";""
Trieste;11/3/2021;"10";"7";"12";"5";"64";"18";"1";"5";"0";"1019";"0";"0";""
Trieste;12/3/2021;"12";"10";"12";"10";"89";"21";"1";"4";"0";"1013";"0";"0";"pioggia "
Trieste;13/3/2021;"11";"10";"13";"8";"83";"18";"1";"5";"0";"1013";"0";"0";""
Trieste;14/3/2021;"9";"5";"14";"5";"74";"15";"7";"30";"0";"1006";"0";"0";"pioggia "
Trieste;15/3/2021;"9";"4";"11";"3";"64";"22";"1";"4";"0";"1009";"0";"0";""
Trieste;16/3/2021;"11";"7";"12";"3";"53";"21";"0";"0";"0";"1013";"0";"0";""
Trieste;17/3/2021;"10";"5";"12";"3";"55";"19";"4";"11";"0";"1016";"0";"0";"pioggia "
Trieste;18/3/2021;"8";"5";"10";"1";"49";"23";"6";"13";"0";"1017";"0";"0";""
Trieste;19/3/2021;"10";"5";"21";"2";"41";"23";"7";"11";"0";"1015";"0";"0";""
Trieste;20/3/2021;"8";"5";"10";"0";"43";"19";"15";"26";"0";"1018";"0";"0";""
Trieste;21/3/2021;"7";"2";"10";"0";"35";"19";"14";"30";"0";"1014";"0";"0";""
Trieste;22/3/2021;"9";"6";"11";"2";"54";"24";"0";"0";"0";"1012";"0";"0";""
Trieste;23/3/2021;"9";"5";"11";"5";"62";"20";"4";"11";"0";"1022";"0";"0";""
Trieste;24/3/2021;"11";"5";"13";"4";"62";"20";"0";"2";"0";"1022";"0";"0";""
Trieste;25/3/2021;"11";"6";"12";"5";"70";"23";"0";"0";"0";"1022";"0";"0";""
Trieste;26/3/2021;"12";"6";"14";"7";"75";"19";"0";"2";"0";"1023";"0";"0";""
Trieste;27/3/2021;"13";"12";"15";"11";"83";"22";"0";"2";"0";"1024";"0";"0";""
Trieste;28/3/2021;"15";"12";"17";"10";"74";"18";"2";"5";"0";"1030";"0";"0";""
Trieste;29/3/2021;"14";"10";"16";"11";"84";"20";"0";"2";"0";"1032";"0";"0";""
Trieste;30/3/2021;"17";"15";"18";"12";"74";"22";"1";"2";"0";"1029";"0";"0";""
Trieste;31/3/2021;"17";"11";"20";"9";"64";"22";"1";"4";"0";"1024";"0";"0";""
