LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trieste;1/11/2021;"15";"13";"17";"13";"86";"18";"4";"8";"0";"1005";"0";"0";"pioggia "
Trieste;2/11/2021;"14";"12";"18";"11";"82";"23";"4";"9";"0";"1003";"0";"0";""
Trieste;3/11/2021;"16";"14";"17";"12";"77";"17";"2";"4";"0";"1005";"0";"0";"pioggia "
Trieste;4/11/2021;"15";"12";"18";"10";"71";"17";"6";"9";"0";"1006";"0";"0";""
Trieste;5/11/2021;"12";"11";"14";"5";"59";"17";"20";"24";"0";"1018";"0";"0";""
Trieste;6/11/2021;"13";"12";"14";"2";"47";"18";"22";"22";"0";"1024";"0";"0";""
Trieste;7/11/2021;"13";"11";"14";"9";"77";"20";"3";"13";"0";"1018";"0";"0";"pioggia "
Trieste;8/11/2021;;;;;;;;;;;;;
Trieste;9/11/2021;"12";"11";"14";"2";"51";"14";"28";"33";"0";"1025";"0";"0";""
Trieste;10/11/2021;;;;;;;;;;;;;
Trieste;11/11/2021;;;;;;;;;;;;;
Trieste;12/11/2021;"14";"11";"17";"12";"89";"16";"0";"2";"0";"1018";"0";"0";""
Trieste;13/11/2021;"14";"13";"15";"13";"96";"8";"0";"2";"0";"1017";"0";"0";""
Trieste;14/11/2021;"14";"12";"16";"8";"70";"16";"16";"24";"0";"1015";"0";"0";""
Trieste;15/11/2021;"12";"12";"12";"6";"66";"20";"34";"35";"0";"1019";"0";"0";""
Trieste;16/11/2021;"12";"11";"12";"5";"62";"22";"31";"33";"0";"1018";"0";"0";""
Trieste;17/11/2021;"15";"12";"17";"9";"66";"20";"6";"18";"0";"1017";"0";"0";""
Trieste;18/11/2021;"14";"12";"15";"5";"56";"19";"28";"35";"0";"1024";"0";"0";""
Trieste;19/11/2021;"13";"10";"15";"7";"66";"19";"0";"2";"0";"1027";"0";"0";""
Trieste;20/11/2021;;;;;;;;;;;;;
Trieste;21/11/2021;"11";"10";"12";"10";"90";"7";"3";"8";"0";"1013";"0";"0";""
Trieste;22/11/2021;"12";"11";"15";"6";"66";"20";"21";"33";"0";"1011";"0";"0";""
Trieste;23/11/2021;"11";"10";"12";"1";"49";"24";"25";"33";"0";"1021";"0";"0";""
Trieste;24/11/2021;"9";"7";"10";"0";"35";"18";"21";"28";"0";"1021";"0";"0";""
Trieste;25/11/2021;"11";"8";"13";"6";"70";"16";"3";"9";"0";"1010";"0";"0";"pioggia "
Trieste;26/11/2021;"10";"10";"11";"10";"98";"5";"5";"11";"0";"994";"0";"0";"pioggia "
Trieste;27/11/2021;"12";"11";"14";"8";"78";"19";"5";"8";"0";"994";"0";"0";""
Trieste;28/11/2021;"11";"10";"12";"9";"88";"26";"1";"4";"0";"992";"0";"0";""
Trieste;29/11/2021;"7";"6";"8";"0";"51";"20";"14";"17";"0";"1000";"0";"0";""
Trieste;30/11/2021;"8";"2";"11";"2";"55";"17";"3";"5";"0";"1015";"0";"0";""
