LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trieste;1/10/2021;"19";"15";"23";"10";"57";"20";"10";"15";"0";"1022";"0";"0";""
Trieste;2/10/2021;"19";"15";"21";"12";"65";"22";"2";"9";"0";"1019";"0";"0";""
Trieste;3/10/2021;"20";"18";"22";"18";"87";"20";"0";"2";"0";"1018";"0";"0";"pioggia "
Trieste;4/10/2021;"24";"20";"26";"18";"69";"20";"6";"8";"0";"1018";"0";"0";""
Trieste;5/10/2021;"22";"20";"25";"18";"77";"16";"4";"9";"0";"1013";"0";"0";"pioggia "
Trieste;6/10/2021;"16";"14";"21";"15";"89";"21";"9";"21";"0";"1012";"0";"0";"pioggia temporale "
Trieste;7/10/2021;"16";"16";"17";"6";"50";"21";"13";"18";"0";"1013";"0";"0";""
Trieste;8/10/2021;"16";"15";"17";"7";"57";"19";"20";"41";"0";"1019";"0";"0";""
Trieste;9/10/2021;"15";"13";"16";"3";"47";"23";"9";"17";"0";"1022";"0";"0";""
Trieste;10/10/2021;"13";"11";"14";"3";"50";"19";"6";"15";"0";"1020";"0";"0";""
Trieste;11/10/2021;"15";"12";"18";"7";"56";"23";"5";"11";"0";"1018";"0";"0";""
Trieste;12/10/2021;;;;;;;;;;;;;
Trieste;13/10/2021;"15";"13";"17";"3";"43";"21";"11";"13";"0";"1017";"0";"0";""
Trieste;14/10/2021;"13";"9";"16";"3";"49";"16";"9";"13";"0";"1023";"0";"0";""
Trieste;15/10/2021;"16";"11";"18";"4";"45";"20";"8";"11";"0";"1018";"0";"0";""
Trieste;16/10/2021;"17";"13";"20";"7";"49";"19";"12";"17";"0";"1017";"0";"0";""
Trieste;17/10/2021;"17";"14";"22";"9";"62";"17";"10";"17";"0";"1019";"0";"0";""
Trieste;18/10/2021;"16";"11";"19";"9";"66";"22";"0";"2";"0";"1023";"0";"0";""
Trieste;19/10/2021;"16";"11";"17";"11";"72";"22";"0";"2";"0";"1026";"0";"0";""
Trieste;20/10/2021;"16";"13";"17";"14";"84";"8";"1";"4";"0";"1024";"0";"0";""
Trieste;21/10/2021;"17";"16";"18";"14";"82";"16";"4";"5";"0";"1013";"0";"0";""
Trieste;22/10/2021;"17";"16";"18";"16";"96";"20";"0";"2";"0";"1016";"0";"0";""
Trieste;23/10/2021;"16";"13";"18";"7";"57";"18";"22";"28";"0";"1022";"0";"0";""
Trieste;24/10/2021;"14";"13";"16";"3";"42";"15";"20";"24";"0";"1026";"0";"0";""
Trieste;25/10/2021;"14";"11";"16";"1";"40";"22";"15";"24";"0";"1023";"0";"0";""
Trieste;26/10/2021;"14";"12";"14";"3";"49";"23";"3";"8";"0";"1021";"0";"0";""
Trieste;27/10/2021;"17";"14";"19";"4";"43";"20";"17";"22";"0";"1024";"0";"0";""
Trieste;28/10/2021;"16";"13";"18";"8";"58";"20";"10";"22";"0";"1021";"0";"0";""
Trieste;29/10/2021;"16";"12";"19";"7";"58";"23";"6";"17";"0";"1019";"0";"0";""
Trieste;30/10/2021;"15";"10";"17";"9";"69";"17";"0";"0";"0";"1018";"0";"0";""
Trieste;31/10/2021;"15";"13";"17";"11";"77";"18";"0";"0";"0";"1017";"0";"0";""
