LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trieste;1/9/2021;"25";"23";"27";"17";"64";"18";"3";"8";"0";"1019";"0";"0";""
Trieste;2/9/2021;"23";"19";"26";"13";"53";"19";"3";"9";"0";"1022";"0";"0";""
Trieste;3/9/2021;"26";"24";"27";"16";"55";"19";"4";"9";"0";"1019";"0";"0";""
Trieste;4/9/2021;"24";"20";"27";"16";"60";"23";"4";"13";"0";"1015";"0";"0";""
Trieste;5/9/2021;"25";"20";"28";"11";"44";"20";"5";"11";"0";"1017";"0";"0";""
Trieste;6/9/2021;"26";"22";"30";"11";"39";"19";"5";"9";"0";"1021";"0";"0";""
Trieste;7/9/2021;"26";"21";"30";"11";"40";"17";"9";"15";"0";"1021";"0";"0";""
Trieste;8/9/2021;"27";"20";"29";"10";"37";"20";"10";"17";"0";"1019";"0";"0";""
Trieste;9/9/2021;"24";"20";"26";"13";"52";"18";"4";"17";"0";"1017";"0";"0";""
Trieste;10/9/2021;"22";"19";"24";"16";"69";"23";"1";"2";"0";"1016";"0";"0";""
Trieste;11/9/2021;"23";"17";"25";"17";"68";"19";"1";"2";"0";"1016";"0";"0";""
Trieste;12/9/2021;"26";"23";"31";"16";"54";"20";"3";"9";"0";"1015";"0";"0";""
Trieste;13/9/2021;"25";"21";"27";"17";"61";"20";"0";"0";"0";"1015";"0";"0";""
Trieste;14/9/2021;"25";"23";"28";"20";"71";"17";"0";"0";"0";"1016";"0";"0";""
Trieste;15/9/2021;"25";"23";"25";"18";"68";"22";"0";"0";"0";"1017";"0";"0";""
Trieste;16/9/2021;"25";"23";"26";"21";"80";"20";"1";"4";"0";"1016";"0";"0";"pioggia "
Trieste;17/9/2021;"22";"19";"24";"17";"76";"20";"5";"9";"0";"1010";"0";"0";"pioggia "
Trieste;18/9/2021;"21";"18";"24";"15";"70";"14";"6";"13";"0";"1012";"0";"0";""
Trieste;19/9/2021;"22";"20";"24";"17";"75";"19";"2";"8";"0";"1011";"0";"0";"pioggia "
Trieste;20/9/2021;"20";"18";"21";"10";"56";"19";"18";"21";"0";"1014";"0";"0";""
Trieste;21/9/2021;"20";"16";"24";"7";"43";"21";"11";"18";"0";"1022";"0";"0";""
Trieste;22/9/2021;"19";"16";"20";"10";"59";"22";"1";"2";"0";"1022";"0";"0";""
Trieste;23/9/2021;"20";"17";"22";"11";"55";"20";"1";"4";"0";"1022";"0";"0";""
Trieste;24/9/2021;"21";"20";"22";"15";"70";"25";"0";"0";"0";"1019";"0";"0";""
Trieste;25/9/2021;"21";"19";"23";"17";"75";"20";"1";"4";"0";"1021";"0";"0";""
Trieste;26/9/2021;"22";"21";"22";"20";"91";"18";"0";"0";"0";"1020";"0";"0";"pioggia "
Trieste;27/9/2021;"22";"20";"24";"19";"85";"19";"1";"4";"0";"1017";"0";"0";""
Trieste;28/9/2021;"22";"17";"26";"19";"81";"17";"0";"0";"0";"1018";"0";"0";""
Trieste;29/9/2021;"23";"21";"24";"17";"67";"22";"2";"9";"0";"1016";"0";"0";""
Trieste;30/9/2021;"20";"18";"22";"8";"46";"17";"17";"21";"0";"1023";"0";"0";""
