LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Verona;1/8/2020;"29";"23";"35";"22";"68";"20";"5";"8";"0";"1012";"0";"0";""
Verona;2/8/2020;"28";"21";"31";"19";"62";"21";"7";"11";"0";"1010";"0";"0";""
Verona;3/8/2020;"22";"18";"25";"20";"88";"19";"7";"24";"0";"1005";"0";"0";"pioggia temporale "
Verona;4/8/2020;"22";"18";"26";"15";"66";"18";"8";"21";"0";"1006";"0";"0";"pioggia "
Verona;5/8/2020;"24";"19";"27";"14";"54";"19";"6";"11";"0";"1013";"0";"0";""
Verona;6/8/2020;"24";"17";"30";"16";"66";"19";"7";"11";"0";"1016";"0";"0";""
Verona;7/8/2020;"28";"21";"31";"19";"59";"20";"8";"11";"0";"1018";"0";"0";""
Verona;8/8/2020;"30";"21";"34";"16";"46";"18";"7";"13";"0";"1018";"0";"0";""
Verona;9/8/2020;"27";"20";"34";"17";"56";"20";"5";"11";"0";"1016";"0";"0";""
Verona;10/8/2020;"28";"21";"34";"18";"56";"20";"6";"11";"0";"1014";"0";"0";""
Verona;11/8/2020;"28";"21";"33";"19";"61";"20";"6";"17";"0";"1015";"0";"0";""
Verona;12/8/2020;"27";"20";"33";"20";"66";"21";"6";"11";"0";"1015";"0";"0";""
Verona;13/8/2020;"28";"22";"32";"20";"65";"21";"8";"17";"0";"1014";"0";"0";""
Verona;14/8/2020;"26";"21";"30";"19";"68";"18";"7";"21";"0";"1012";"0";"0";""
Verona;15/8/2020;"25";"18";"31";"17";"63";"21";"6";"11";"0";"1012";"0";"0";""
Verona;16/8/2020;"26";"19";"32";"18";"62";"21";"6";"9";"0";"1011";"0";"0";""
Verona;17/8/2020;"24";"20";"28";"19";"72";"19";"6";"22";"0";"1010";"0";"0";"pioggia temporale "
Verona;18/8/2020;"23";"18";"29";"18";"74";"18";"7";"17";"0";"1010";"0";"0";"pioggia temporale "
Verona;19/8/2020;"24";"18";"31";"18";"69";"21";"7";"13";"0";"1010";"0";"0";"pioggia "
Verona;20/8/2020;"26";"20";"32";"19";"65";"20";"6";"11";"0";"1013";"0";"0";""
Verona;21/8/2020;"27";"21";"33";"19";"63";"20";"6";"13";"0";"1015";"0";"0";""
Verona;22/8/2020;"28";"22";"34";"19";"61";"21";"6";"13";"0";"1014";"0";"0";""
Verona;23/8/2020;"25";"20";"32";"17";"66";"20";"10";"39";"0";"1013";"0";"0";"pioggia temporale "
Verona;24/8/2020;"23";"17";"29";"16";"68";"20";"9";"18";"0";"1013";"0";"0";""
Verona;25/8/2020;"24";"17";"30";"16";"66";"21";"6";"13";"0";"1014";"0";"0";"pioggia "
Verona;26/8/2020;"24";"18";"30";"17";"68";"22";"7";"18";"0";"1014";"0";"0";""
Verona;27/8/2020;"26";"20";"31";"19";"70";"21";"7";"15";"0";"1013";"0";"0";""
Verona;28/8/2020;"25";"20";"30";"19";"73";"20";"12";"30";"0";"1008";"0";"0";"pioggia temporale "
Verona;29/8/2020;"22";"19";"27";"19";"85";"17";"10";"26";"0";"1003";"0";"0";"pioggia temporale "
Verona;30/8/2020;"22";"19";"28";"17";"76";"17";"13";"31";"0";"1005";"0";"0";"pioggia temporale "
Verona;31/8/2020;"18";"15";"23";"15";"85";"18";"6";"24";"0";"1011";"0";"0";"pioggia temporale "
