LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Verona;1/4/2020;"7";"3";"11";"0";"55";"19";"8";"13";"0";"1020";"0";"0";""
Verona;2/4/2020;"7";"-1";"14";"0";"54";"18";"7";"15";"0";"1015";"0";"0";""
Verona;3/4/2020;"9";"2";"16";"1";"52";"19";"7";"13";"0";"1014";"0";"0";""
Verona;4/4/2020;"11";"2";"19";"2";"51";"18";"7";"21";"0";"1020";"0";"0";""
Verona;5/4/2020;"13";"5";"20";"2";"43";"20";"12";"22";"0";"1024";"0";"0";""
Verona;6/4/2020;"15";"8";"22";"2";"39";"20";"12";"21";"0";"1026";"0";"0";""
Verona;7/4/2020;"14";"6";"22";"2";"38";"20";"7";"17";"0";"1028";"0";"0";""
Verona;8/4/2020;"14";"5";"22";"1";"33";"20";"7";"15";"0";"1026";"0";"0";""
Verona;9/4/2020;"15";"5";"23";"2";"34";"19";"6";"11";"0";"1022";"0";"0";""
Verona;10/4/2020;"16";"7";"25";"2";"40";"21";"6";"11";"0";"1022";"0";"0";""
Verona;11/4/2020;"17";"7";"26";"2";"40";"20";"7";"13";"0";"1020";"0";"0";""
Verona;12/4/2020;"17";"8";"26";"3";"39";"19";"6";"9";"0";"1019";"0";"0";""
Verona;13/4/2020;"16";"7";"23";"3";"42";"18";"8";"17";"0";"1014";"0";"0";""
Verona;14/4/2020;"14";"9";"22";"5";"54";"20";"13";"48";"0";"1012";"0";"0";""
Verona;15/4/2020;"11";"4";"16";"1";"47";"19";"7";"15";"0";"1025";"0";"0";""
Verona;16/4/2020;"12";"3";"20";"2";"52";"20";"7";"15";"0";"1022";"0";"0";""
Verona;17/4/2020;"14";"5";"22";"3";"52";"20";"5";"9";"0";"1018";"0";"0";""
Verona;18/4/2020;"16";"7";"24";"6";"55";"20";"6";"11";"0";"1016";"0";"0";""
Verona;19/4/2020;"17";"10";"24";"9";"61";"20";"7";"15";"0";"1013";"0";"0";""
Verona;20/4/2020;"16";"14";"17";"8";"62";"18";"17";"31";"0";"1012";"0";"0";"pioggia "
Verona;21/4/2020;"15";"10";"19";"3";"40";"20";"14";"26";"0";"1013";"0";"0";"pioggia "
Verona;22/4/2020;"16";"9";"22";"2";"34";"20";"16";"30";"0";"1017";"0";"0";""
Verona;23/4/2020;"16";"8";"22";"3";"45";"21";"8";"17";"0";"1018";"0";"0";""
Verona;24/4/2020;"17";"8";"24";"6";"51";"20";"9";"17";"0";"1014";"0";"0";""
Verona;25/4/2020;"18";"9";"26";"7";"53";"21";"10";"22";"0";"1008";"0";"0";""
Verona;26/4/2020;"18";"13";"23";"9";"56";"18";"7";"11";"0";"1009";"0";"0";"pioggia "
Verona;27/4/2020;"17";"12";"22";"10";"63";"20";"6";"15";"0";"1011";"0";"0";""
Verona;28/4/2020;"16";"12";"21";"11";"72";"18";"7";"15";"0";"1010";"0";"0";"pioggia "
Verona;29/4/2020;"17";"14";"20";"10";"63";"20";"12";"21";"0";"1007";"0";"0";"pioggia "
Verona;30/4/2020;"15";"10";"21";"11";"78";"21";"8";"13";"0";"1009";"0";"0";"pioggia "
