LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Verona;1/3/2020;"7";"6";"8";"6";"93";"8";"8";"13";"0";"1006";"0";"0";"pioggia "
Verona;2/3/2020;"7";"3";"11";"5";"88";"8";"16";"31";"0";"997";"0";"0";"pioggia nebbia "
Verona;3/3/2020;"8";"7";"10";"6";"89";"15";"9";"17";"0";"998";"0";"0";"pioggia "
Verona;4/3/2020;"8";"4";"13";"4";"75";"20";"8";"13";"0";"1011";"0";"0";"pioggia "
Verona;5/3/2020;"6";"2";"11";"3";"77";"17";"11";"26";"0";"1009";"0";"0";"pioggia "
Verona;6/3/2020;"7";"4";"11";"4";"82";"13";"13";"28";"0";"1000";"0";"0";"pioggia "
Verona;7/3/2020;"9";"5";"15";"4";"74";"15";"10";"18";"0";"1011";"0";"0";"pioggia temporale "
Verona;8/3/2020;"9";"3";"14";"2";"57";"20";"7";"13";"0";"1019";"0";"0";""
Verona;9/3/2020;"8";"3";"12";"2";"68";"20";"7";"17";"0";"1014";"0";"0";""
Verona;10/3/2020;"9";"4";"15";"4";"75";"14";"5";"15";"0";"1016";"0";"0";""
Verona;11/3/2020;"12";"2";"17";"5";"65";"12";"6";"11";"0";"1019";"0";"0";""
Verona;12/3/2020;"11";"4";"15";"7";"80";"6";"7";"13";"0";"1019";"0";"0";""
Verona;13/3/2020;"13";"11";"15";"10";"81";"8";"9";"15";"0";"1015";"0";"0";""
Verona;14/3/2020;"11";"6";"13";"4";"60";"21";"11";"30";"0";"1018";"0";"0";"pioggia "
Verona;15/3/2020;"9";"3";"15";"2";"62";"19";"7";"15";"0";"1024";"0";"0";""
Verona;16/3/2020;"9";"2";"15";"1";"61";"19";"6";"13";"0";"1026";"0";"0";""
Verona;17/3/2020;"10";"4";"16";"3";"63";"20";"5";"9";"0";"1030";"0";"0";""
Verona;18/3/2020;"12";"3";"20";"4";"62";"14";"7";"13";"0";"1028";"0";"0";""
Verona;19/3/2020;"13";"6";"21";"5";"61";"17";"6";"13";"0";"1024";"0";"0";""
Verona;20/3/2020;"13";"6";"20";"6";"65";"19";"7";"11";"0";"1021";"0";"0";"pioggia "
Verona;21/3/2020;"11";"6";"17";"9";"87";"4";"7";"13";"0";"1015";"0";"0";"nebbia "
Verona;22/3/2020;"11";"6";"14";"4";"61";"18";"17";"33";"0";"1019";"0";"0";""
Verona;23/3/2020;"6";"1";"10";"0";"36";"20";"15";"33";"0";"1027";"0";"0";""
Verona;24/3/2020;"5";"-1";"12";"0";"43";"18";"10";"22";"0";"1025";"0";"0";""
Verona;25/3/2020;"6";"3";"10";"0";"45";"20";"18";"33";"0";"1020";"0";"0";""
Verona;26/3/2020;"5";"2";"8";"3";"66";"16";"9";"21";"0";"1016";"0";"0";"pioggia "
Verona;27/3/2020;"9";"6";"13";"3";"66";"19";"8";"21";"0";"1016";"0";"0";"pioggia "
Verona;28/3/2020;"13";"6";"18";"4";"58";"17";"6";"13";"0";"1014";"0";"0";""
Verona;29/3/2020;"13";"5";"20";"5";"58";"17";"6";"13";"0";"1012";"0";"0";"pioggia "
Verona;30/3/2020;"12";"5";"14";"4";"59";"17";"18";"30";"0";"1014";"0";"0";"pioggia "
Verona;31/3/2020;"5";"4";"5";"2";"72";"18";"13";"26";"0";"1020";"0";"0";"pioggia "
