LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Verona;1/11/2020;"12";"7";"17";"11";"95";"2";"6";"13";"0";"1022";"0";"0";"nebbia "
Verona;2/11/2020;"12";"10";"13";"12";"99";"2";"4";"9";"0";"1023";"0";"0";"pioggia nebbia "
Verona;3/11/2020;"13";"12";"16";"12";"92";"3";"3";"5";"0";"1023";"0";"0";"nebbia "
Verona;4/11/2020;"13";"9";"16";"12";"91";"4";"3";"5";"0";"1023";"0";"0";"nebbia "
Verona;5/11/2020;"14";"9";"19";"11";"86";"12";"4";"9";"0";"1029";"0";"0";""
Verona;6/11/2020;"12";"9";"17";"9";"83";"12";"6";"13";"0";"1031";"0";"0";"nebbia "
Verona;7/11/2020;"11";"5";"19";"8";"83";"15";"4";"8";"0";"1029";"0";"0";"nebbia "
Verona;8/11/2020;"8";"4";"15";"7";"94";"5";"4";"9";"0";"1026";"0";"0";"nebbia "
Verona;9/11/2020;"11";"5";"19";"8";"85";"12";"6";"13";"0";"1023";"0";"0";""
Verona;10/11/2020;"10";"5";"17";"8";"88";"12";"4";"8";"0";"1024";"0";"0";""
Verona;11/11/2020;"9";"4";"14";"6";"83";"9";"3";"5";"0";"1025";"0";"0";"nebbia "
Verona;12/11/2020;"9";"5";"13";"7";"86";"11";"4";"9";"0";"1025";"0";"0";""
Verona;13/11/2020;"10";"8";"13";"9";"91";"4";"4";"11";"0";"1025";"0";"0";""
Verona;14/11/2020;"10";"7";"14";"8";"86";"4";"5";"11";"0";"1025";"0";"0";""
Verona;15/11/2020;"11";"7";"14";"8";"82";"7";"7";"17";"0";"1022";"0";"0";""
Verona;16/11/2020;"10";"5";"14";"9";"96";"3";"7";"21";"0";"1018";"0";"0";"pioggia nebbia "
Verona;17/11/2020;"9";"5";"16";"5";"81";"17";"8";"15";"0";"1027";"0";"0";""
Verona;18/11/2020;"6";"0";"12";"5";"93";"9";"5";"9";"0";"1029";"0";"0";"nebbia "
Verona;19/11/2020;"7";"5";"8";"6";"99";"1";"4";"8";"0";"1021";"0";"0";"nebbia "
Verona;20/11/2020;"9";"4";"13";"4";"77";"21";"8";"22";"0";"1023";"0";"0";"pioggia "
Verona;21/11/2020;"5";"-1";"10";"1";"58";"21";"8";"13";"0";"1032";"0";"0";""
Verona;22/11/2020;"3";"-2";"10";"0";"67";"20";"9";"17";"0";"1031";"0";"0";""
Verona;23/11/2020;"3";"-2";"9";"1";"79";"19";"5";"8";"0";"1028";"0";"0";""
Verona;24/11/2020;"5";"-1";"13";"1";"71";"20";"5";"9";"0";"1027";"0";"0";""
Verona;25/11/2020;"4";"-2";"11";"2";"79";"21";"4";"9";"0";"1024";"0";"0";""
Verona;26/11/2020;"3";"-3";"10";"3";"88";"12";"4";"8";"0";"1024";"0";"0";"nebbia "
Verona;27/11/2020;"1";"-4";"7";"3";"96";"2";"4";"9";"0";"1022";"0";"0";"neve nebbia "
Verona;28/11/2020;"4";"-2";"7";"4";"91";"5";"5";"13";"0";"1019";"0";"0";"nebbia "
Verona;29/11/2020;"7";"3";"11";"4";"83";"14";"6";"13";"0";"1018";"0";"0";""
Verona;30/11/2020;"5";"2";"10";"1";"73";"18";"4";"8";"0";"1023";"0";"0";""
