LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Verona;1/10/2020;"17";"12";"21";"13";"82";"15";"5";"17";"0";"1008";"0";"0";""
Verona;2/10/2020;"17";"15";"20";"15";"88";"15";"15";"26";"0";"1002";"0";"0";"pioggia "
Verona;3/10/2020;"18";"12";"30";"13";"71";"20";"17";"31";"0";"998";"0";"0";"pioggia "
Verona;4/10/2020;"14";"9";"22";"10";"79";"21";"10";"22";"0";"1005";"0";"0";"pioggia "
Verona;5/10/2020;"15";"11";"20";"12";"84";"17";"7";"17";"0";"1008";"0";"0";"pioggia "
Verona;6/10/2020;"14";"8";"21";"11";"80";"21";"6";"13";"0";"1013";"0";"0";""
Verona;7/10/2020;"16";"12";"21";"12";"78";"20";"9";"21";"0";"1011";"0";"0";"pioggia temporale "
Verona;8/10/2020;"15";"8";"22";"9";"74";"19";"6";"13";"0";"1021";"0";"0";""
Verona;9/10/2020;"14";"9";"21";"10";"79";"13";"5";"8";"0";"1022";"0";"0";""
Verona;10/10/2020;"16";"9";"21";"12";"79";"16";"5";"11";"0";"1017";"0";"0";""
Verona;11/10/2020;"12";"10";"16";"10";"92";"12";"11";"30";"0";"1012";"0";"0";"pioggia temporale "
Verona;12/10/2020;"11";"9";"17";"9";"86";"21";"9";"18";"0";"1011";"0";"0";""
Verona;13/10/2020;"11";"3";"17";"3";"63";"19";"10";"24";"0";"1008";"0";"0";""
Verona;14/10/2020;"10";"3";"16";"5";"73";"19";"6";"11";"0";"1008";"0";"0";"pioggia "
Verona;15/10/2020;"10";"9";"13";"9";"91";"13";"11";"21";"0";"1005";"0";"0";"pioggia "
Verona;16/10/2020;"12";"9";"16";"9";"83";"20";"7";"15";"0";"1012";"0";"0";"pioggia "
Verona;17/10/2020;"11";"5";"16";"8";"86";"14";"4";"8";"0";"1014";"0";"0";"nebbia "
Verona;18/10/2020;"11";"6";"18";"9";"85";"7";"4";"9";"0";"1019";"0";"0";""
Verona;19/10/2020;"11";"7";"18";"9";"87";"7";"6";"13";"0";"1023";"0";"0";""
Verona;20/10/2020;"11";"6";"16";"9";"86";"5";"5";"8";"0";"1024";"0";"0";"nebbia "
Verona;21/10/2020;"11";"6";"18";"10";"89";"3";"5";"9";"0";"1023";"0";"0";"nebbia "
Verona;22/10/2020;"10";"6";"15";"9";"94";"2";"3";"5";"0";"1023";"0";"0";"nebbia "
Verona;23/10/2020;"13";"11";"14";"12";"97";"1";"4";"9";"0";"1020";"0";"0";"pioggia nebbia "
Verona;24/10/2020;"14";"11";"15";"13";"96";"2";"8";"18";"0";"1016";"0";"0";"pioggia nebbia "
Verona;25/10/2020;"14";"8";"20";"11";"88";"11";"7";"15";"0";"1014";"0";"0";"nebbia "
Verona;26/10/2020;"14";"13";"17";"13";"91";"11";"10";"21";"0";"1007";"0";"0";"pioggia "
Verona;27/10/2020;"13";"7";"16";"10";"86";"22";"7";"17";"0";"1008";"0";"0";"pioggia temporale "
Verona;28/10/2020;"10";"4";"17";"7";"81";"19";"7";"17";"0";"1017";"0";"0";""
Verona;29/10/2020;"10";"6";"17";"8";"86";"20";"5";"15";"0";"1019";"0";"0";""
Verona;30/10/2020;"11";"6";"17";"9";"88";"16";"4";"9";"0";"1023";"0";"0";"nebbia "
Verona;31/10/2020;"11";"4";"17";"9";"88";"13";"4";"9";"0";"1023";"0";"0";"nebbia "
