LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Verona;1/1/2021;"4";"2";"6";"3";"90";"10";"11";"24";"0";"1009";"0";"0";"pioggia "
Verona;2/1/2021;"7";"4";"9";"4";"83";"19";"16";"28";"0";"1006";"0";"0";"pioggia "
Verona;3/1/2021;"7";"2";"10";"4";"83";"21";"10";"18";"0";"1008";"0";"0";"pioggia "
Verona;4/1/2021;"4";"1";"8";"2";"90";"20";"6";"13";"0";"1010";"0";"0";""
Verona;5/1/2021;"4";"1";"7";"2";"89";"15";"10";"22";"0";"1008";"0";"0";"pioggia "
Verona;6/1/2021;"3";"0";"5";"2";"93";"11";"7";"15";"0";"1009";"0";"0";"pioggia "
Verona;7/1/2021;"1";"-2";"5";"1";"92";"12";"5";"11";"0";"1014";"0";"0";"nebbia "
Verona;8/1/2021;"1";"-3";"6";"0";"79";"19";"5";"11";"0";"1013";"0";"0";""
Verona;9/1/2021;"1";"-3";"5";"0";"69";"21";"8";"13";"0";"1018";"0";"0";""
Verona;10/1/2021;"1";"-4";"5";"0";"61";"19";"8";"18";"0";"1018";"0";"0";""
Verona;11/1/2021;"-2";"-6";"4";"0";"69";"21";"6";"11";"0";"1019";"0";"0";""
Verona;12/1/2021;"-1";"-5";"3";"0";"70";"20";"8";"15";"0";"1015";"0";"0";""
Verona;13/1/2021;"-2";"-7";"6";"0";"75";"20";"5";"11";"0";"1013";"0";"0";""
Verona;14/1/2021;;;;;;;;;;;;;
Verona;15/1/2021;"3";"-2";"5";"0";"56";"21";"8";"13";"0";"1017";"0";"0";""
Verona;16/1/2021;"0";"-4";"6";"0";"77";"20";"8";"15";"0";"1021";"0";"0";""
Verona;17/1/2021;"0";"-3";"4";"0";"79";"17";"4";"8";"0";"1016";"0";"0";""
Verona;18/1/2021;"-1";"-6";"5";"0";"79";"17";"6";"13";"0";"1023";"0";"0";""
Verona;19/1/2021;"-4";"-8";"0";"0";"95";"2";"4";"8";"0";"1024";"0";"0";"nebbia "
Verona;20/1/2021;"1";"-2";"2";"1";"96";"2";"5";"13";"0";"1021";"0";"0";"pioggia nebbia "
Verona;21/1/2021;"2";"0";"4";"2";"96";"3";"4";"8";"0";"1015";"0";"0";"pioggia "
Verona;22/1/2021;"5";"3";"9";"5";"97";"7";"9";"30";"0";"1002";"0";"0";"pioggia "
Verona;23/1/2021;"7";"1";"9";"5";"89";"18";"13";"24";"0";"993";"0";"0";"pioggia "
Verona;24/1/2021;"1";"-1";"8";"2";"93";"16";"10";"28";"0";"998";"0";"0";"nebbia "
Verona;25/1/2021;"2";"-4";"7";"0";"66";"21";"11";"22";"0";"1002";"0";"0";""
Verona;26/1/2021;"4";"-1";"9";"0";"43";"19";"13";"22";"0";"1014";"0";"0";""
Verona;27/1/2021;"0";"-3";"5";"0";"59";"22";"6";"13";"0";"1016";"0";"0";""
Verona;28/1/2021;"0";"-5";"5";"0";"70";"20";"6";"17";"0";"1013";"0";"0";""
Verona;29/1/2021;"1";"-3";"5";"0";"78";"15";"6";"15";"0";"1005";"0";"0";""
Verona;30/1/2021;"3";"-4";"7";"2";"82";"11";"6";"11";"0";"1001";"0";"0";"pioggia "
Verona;31/1/2021;"6";"3";"10";"5";"93";"12";"7";"13";"0";"997";"0";"0";"pioggia "
