LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Verona;1/7/2021;"24";"16";"31";"12";"48";"19";"9";"17";"0";"1011";"0";"0";""
Verona;2/7/2021;"25";"18";"30";"14";"51";"19";"10";"18";"0";"1013";"0";"0";""
Verona;3/7/2021;"25";"19";"31";"15";"56";"17";"7";"15";"0";"1014";"0";"0";"pioggia temporale "
Verona;4/7/2021;"22";"18";"25";"19";"86";"18";"8";"13";"0";"1011";"0";"0";"pioggia "
Verona;5/7/2021;"23";"16";"29";"16";"71";"17";"6";"15";"0";"1011";"0";"0";""
Verona;6/7/2021;"26";"18";"31";"16";"58";"21";"8";"11";"0";"1013";"0";"0";""
Verona;7/7/2021;"27";"19";"33";"17";"58";"20";"9";"17";"0";"1013";"0";"0";""
Verona;8/7/2021;"24";"19";"29";"18";"74";"21";"10";"26";"0";"1014";"0";"0";"pioggia "
Verona;9/7/2021;"23";"15";"30";"15";"64";"22";"12";"24";"0";"1016";"0";"0";""
Verona;10/7/2021;"25";"16";"31";"15";"57";"20";"6";"11";"0";"1015";"0";"0";""
Verona;11/7/2021;"24";"19";"31";"16";"63";"18";"9";"30";"0";"1012";"0";"0";"pioggia temporale "
Verona;12/7/2021;"26";"18";"31";"18";"63";"21";"9";"15";"0";"1012";"0";"0";""
Verona;13/7/2021;"26";"19";"30";"18";"63";"21";"15";"24";"0";"1007";"0";"0";"pioggia temporale "
Verona;14/7/2021;"21";"16";"25";"14";"69";"18";"9";"21";"0";"1010";"0";"0";"pioggia "
Verona;15/7/2021;"22";"15";"27";"14";"63";"20";"6";"11";"0";"1013";"0";"0";""
Verona;16/7/2021;"21";"17";"26";"16";"75";"20";"8";"21";"0";"1013";"0";"0";"pioggia temporale "
Verona;17/7/2021;"23";"19";"27";"16";"63";"21";"11";"24";"0";"1011";"0";"0";"pioggia "
Verona;18/7/2021;"25";"20";"31";"17";"63";"19";"7";"13";"0";"1010";"0";"0";"pioggia "
Verona;19/7/2021;"27";"19";"33";"16";"54";"21";"6";"11";"0";"1011";"0";"0";""
Verona;20/7/2021;"27";"20";"33";"16";"53";"19";"7";"15";"0";"1013";"0";"0";""
Verona;21/7/2021;"27";"20";"32";"18";"59";"19";"8";"13";"0";"1017";"0";"0";""
Verona;22/7/2021;"26";"21";"31";"18";"60";"20";"10";"18";"0";"1017";"0";"0";"pioggia temporale "
Verona;23/7/2021;"25";"18";"31";"18";"68";"20";"6";"22";"0";"1015";"0";"0";"pioggia temporale "
Verona;24/7/2021;"26";"20";"31";"19";"64";"19";"8";"13";"0";"1012";"0";"0";""
Verona;25/7/2021;"27";"22";"31";"18";"60";"19";"14";"24";"0";"1009";"0";"0";""
Verona;26/7/2021;"25";"20";"30";"19";"68";"19";"9";"21";"0";"1012";"0";"0";"pioggia "
Verona;27/7/2021;"23";"19";"28";"19";"83";"20";"8";"22";"0";"1015";"0";"0";"pioggia temporale "
Verona;28/7/2021;"23";"17";"30";"19";"79";"19";"6";"33";"0";"1013";"0";"0";"pioggia temporale "
Verona;29/7/2021;"25";"18";"31";"19";"73";"20";"5";"11";"0";"1013";"0";"0";""
Verona;30/7/2021;"26";"20";"31";"19";"68";"20";"8";"15";"0";"1011";"0";"0";"pioggia "
Verona;31/7/2021;"26";"21";"31";"20";"70";"16";"5";"13";"0";"1008";"0";"0";""
